Imputar,Marca temporal,Fecha de nacimiento,P1,P2,P3,P4,P5,P6,P7,P8,P9,P10,P11,P12,P13,P14,P15,P16,P17,P18,P19,P20,P21,P22,P23,P24,P25,P26,P27,P28,P29
No,7/25/2024 14:21:32,7/1/2024,16,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Chicoana,A veces,Estudiantes,No,,No Experimenté Violencia/Agresiones,No,,No,,No,No,,,Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,7/25/2024 15:48:28,7/25/2024,16,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,Estudiantes,No,Sí,"Apodos, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,Avisar De Estas Situaciones En La Casa,No,No,Sí,No,,En El Aula,Sí,"Identidad De Género, Violencia Por Motivo De Identidad De Género U Orientación Sexual",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas",Sí,"Talleres, Capacitaciones, Charlas Informativas, Actividades Culturales"
No,7/25/2024 18:28:18,9/7/2024,16,Varón cis,Sí,No,Bisexual,Secundaria,Secundario estatal,Cachi,A veces,Administrativos/Preceptores,No,Sí,No Experimenté Violencia/Agresiones,No,No Atravesaste Situaciones De Violencia/Discriminacion,No,No,Sí,No,,No Atravesé Situaciones De Violencia,Sí,"Identidad De Género, Orientación Sexual, Expresión De Género","Salud Integral De La Diversidad Sexual/Afectiva, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",Sí,No,Realizar Mediaciones Entre Las Partes Involucradas,No,
Sí,3/8/2024 22:45:18,5/19/2011,13,Mujer cis,Sí,No,Lesbiana,Secundaria,Secundario estatal,Salta,A veces,Estudiantes,No,Sí,Burlas/Chistes,No,"Avisar De Estas Situaciones En La Casa, Defenderte Con Firmeza, Pero Sin Ejercer Violencia",No,No,No,No,,No Atravesé Situaciones De Violencia,Sí,"Orientación Sexual, Expresión De Género",Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva,Sí,Sí,Generar Redes De Acompañamiento Y Asesoramiento,No,
Sí,5/27/2024 16:14:48,11/20/2009,14,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,Constantementes,"Directivos, Coordinadores, Docentes, Administrativos/Preceptores, Personal de maestranza, Estudiantes",No,Sí,"Insultos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños, Paredes, Mesas, Sillas, Pizarra, Etc., Empujones, Golpes, Ciberbullying (Reenvío De Fotos, Memes, Stickers En Whatsapp, Etc.)",Sí,Nada,No,No,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Dirección, Preceptoria, Pasillos, Patio, Baños O Vestuarios, Comedor, Campo Deportivo/Gimnasio, Escaleras, Otros Lugares De La Institución Educativa",Sí,Identidad De Género,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,10/15/2023 23:29:28,7/22/2009,15,Varón trans,No,No,Pansexual,Secundaria,Secundario privado,Salta,Constantementes,Estudiantes,Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Empujones, Amenazas",Sí,"Avisar De Estas Situaciones En La Casa, No Reaccionaste Ante Estas Situaciones",No,No,No,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer, No Permiten Que Una Persona Trans Sea Llamada Por Su Nombre Y Utilice El Uniforme Con El Que Se Siente Mejor (Están Separados Por Varón Y Mujer) A Menos Que Ya Haya Realizado El Cambio Registral Del Dni.","En El Aula, Pasillos, Patio, Baños O Vestuarios",Sí,Ninguno De Los Temas Anteriores,"Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva, Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Realizar Mediaciones Entre Las Partes Involucradas, Organizar Campañas De Sensibilización E Información, Generar Redes De Acompañamiento Y Asesoramiento",No,
No,3/24/2024 18:37:23,9/1/2009,15,Mujer cis,Sí,No,Bisexual,Secundaria,Secundario privado,Salta,Constantementes,"Docentes, Estudiantes",Sí,,"Apodos, Burlas/Chistes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.)",No,"Defenderte Con Firmeza, Pero Sin Ejercer Violencia",Sí,No,No,Sí,"Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Dirección, Pasillos, Patio, Baños O Vestuarios, Campo Deportivo/Gimnasio",Sí,"Ninguno De Los Temas Anteriores, Vimos Q Hay Plantas Hembras Y Macho, Como La Palta Y El Palto 💀","Cuidados Y Prácticas Sexuales De La Diversidad Sexual/Afectiva, Salud Integral De La Diversidad Sexual/Afectiva",No,No,Generar Redes De Acompañamiento Y Asesoramiento,No,
No,4/8/2024 12:46:18,7/28/2009,15,No binario,No,No,Bisexual,Secundaria,Secundario estatal,Salta,A veces,"Docentes, Estudiantes",Sí,No,"Insultos, Apodos, Burlas/Chistes, Gestos Intimidantes, Exclusión De Grupos Y Actividades Escolares, Dibujos/Palabras Discriminatorias Escritas En Los Baños; Paredes; Mesas; Sillas; Pizarra; Etc., Empujones, Amenazas, Golpes, Acoso Sexual (Que Te Toque; Te Fotografíen; Etc.), Otras Situaciones De Violencia Y Discriminación",Sí,Pedir Un Consejo/Ayuda A Algún Compañero/A,No,Sí,Sí,Sí,"Las Indicaciones Para El Uso De Baños (Mujer/Varón), Uniforme/Vestimenta, Indicar El Largo Y La Forma De Peinar El Cabello, Prácticas Deportivas Separadas Por Varón/Mujer, Organización En La Formación/Filas, Planillas De Asistencia Discriminada Por Varón/Mujer, Las Normas Respecto Al Uso De Maquillaje Y/O Accesorios “No Correspondientes” Al Binomio Varón/Mujer","En El Aula, Pasillos, Patio, Baños O Vestuarios, Escaleras",Sí,Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva,"Lenguaje Inclusivo, Trabajo Y Educación Para Las Personas Trans/No Binares, Uso De Sanitarios, Prácticas Deportivas Inclusivas, Orientación Vocacional Para Personas Trans/No Binaries",No,No,"Denunciar Ante La Justicia Y/U Organismos Pertinentes, Generar Redes De Acompañamiento Y Asesoramiento",No,
Sí,10/3/2023 15:05:42,9/16/2008,,Varón cis,TRUE,No,Heterosexual,SECUNDARIA,SECUNDARIO ESTATAL,GENERAL GUEMES,NUNCA,ESTUDIANTES,NO,,NO EXPERIMENTÉ VIOLENCIA/AGRESIONES,NO,NO ATRAVESASTE SITUACIONES DE VIOLENCIA/DISCRIMINACION,NO,NO,SI,NO,,EN EL AULA,SI,"IDENTIDAD DE GÉNERO, IDENTIDAD NO BINARIE, ORIENTACIÓN SEXUAL, EXPRESIÓN DE GÉNERO, INTERSEXUALIDAD, INTERSECCIONALIDAD, CUIDADOS Y PRÁCTICAS SEXUALES DE LA DIVERSIDAD SEXUAL-AFECTIVA, DERECHOS DE LA DIVERSIDAD SEXUAL-AFECTIVA, VIOLENCIA POR MOTIVO DE IDENTIDAD DE GÉNERO U ORIENTACIÓN SEXUAL, NUEVAS MASCULINIDADES, NINGUNO DE LOS TEMAS ANTERIORES",,SI,NO,DENUNCIAR ANTE LA JUSTICIA Y/U ORGANISMOS PERTINENTES,SI,"TALLERES, CHARLAS INFORMATIVAS"
No,7/25/2024 15:55:58,3/5/2009,15,Varón trans,No,No,Heterosexual,Secundaria,Secundario estatal,La Poma,A veces,Estudiantes,No,,Insultos,Sí,,No,,,No,,,Sí,"Identidad De Género, Identidad No Binarie, Orientación Sexual, Expresión De Género, Intersexualidad, Interseccionalidad, Cuidados Y Prácticas Sexuales De La Diversidad Sexual-Afectiva, Derechos De La Diversidad Sexual-Afectiva, Violencia Por Motivo De Identidad De Género U Orientación Sexual, Nuevas Masculinidades, Ninguno De Los Temas Anteriores",Lenguaje Inclusivo,No,Sí,Realizar Mediaciones Entre Las Partes Involucradas,No,
