Año,Mes,Mes_ord,Tipo,Cantidad
2022,Enero,1,A caratular - Delitos sexuales,56
2022,Febrero,2,A caratular - Delitos sexuales,58
2022,Marzo,3,A caratular - Delitos sexuales,76
2022,Abril,4,A caratular - Delitos sexuales,76
2022,Mayo,5,A caratular - Delitos sexuales,72
2022,Junio,6,A caratular - Delitos sexuales,80
2022,Julio,7,A caratular - Delitos sexuales,83
2022,Agosto,8,A caratular - Delitos sexuales,67
2022,Septiembre,9,A caratular - Delitos sexuales,70
2022,Octubre,10,A caratular - Delitos sexuales,78
2022,Noviembre,11,A caratular - Delitos sexuales,87
2022,Diciembre,12,A caratular - Delitos sexuales,68
2022,Enero,1,Abuso sexual con acceso carnal,36
2022,Febrero,2,Abuso sexual con acceso carnal,37
2022,Marzo,3,Abuso sexual con acceso carnal,47
2022,Abril,4,Abuso sexual con acceso carnal,56
2022,Mayo,5,Abuso sexual con acceso carnal,45
2022,Junio,6,Abuso sexual con acceso carnal,42
2022,Julio,7,Abuso sexual con acceso carnal,35
2022,Agosto,8,Abuso sexual con acceso carnal,56
2022,Septiembre,9,Abuso sexual con acceso carnal,37
2022,Octubre,10,Abuso sexual con acceso carnal,46
2022,Noviembre,11,Abuso sexual con acceso carnal,61
2022,Diciembre,12,Abuso sexual con acceso carnal,57
2022,Enero,1,Abuso sexual gravemente ultrajante,3
2022,Febrero,2,Abuso sexual gravemente ultrajante,2
2022,Marzo,3,Abuso sexual gravemente ultrajante,8
2022,Abril,4,Abuso sexual gravemente ultrajante,5
2022,Mayo,5,Abuso sexual gravemente ultrajante,2
2022,Junio,6,Abuso sexual gravemente ultrajante,1
2022,Julio,7,Abuso sexual gravemente ultrajante,4
2022,Agosto,8,Abuso sexual gravemente ultrajante,3
2022,Septiembre,9,Abuso sexual gravemente ultrajante,12
2022,Octubre,10,Abuso sexual gravemente ultrajante,5
2022,Noviembre,11,Abuso sexual gravemente ultrajante,5
2022,Diciembre,12,Abuso sexual gravemente ultrajante,5
