Año,Mes,Mes_num,Fecha,Accion,Tipo,Cantidad
2022,Abril,4,1/4/2022,Intervenciones,Abuso sexual,56
2022,Abril,4,1/4/2022,Intervenciones,Violencia de género,2735
2022,Abril,4,1/4/2022,Intervenciones,Violencia familiar en curso,2745
2022,Abril,4,1/4/2022,Intervenciones,Violencia familiar histórica,29
2022,Abril,4,1/4/2022,Intervenciones SAMEC,Abuso sexual,27
2022,Abril,4,1/4/2022,Intervenciones SAMEC,Violencia de género,917
2022,Abril,4,1/4/2022,Intervenciones SAMEC,Violencia familiar en curso,464
2022,Abril,4,1/4/2022,Intervenciones SAMEC,Violencia familiar histórica,1
2022,Abril,4,1/4/2022,Llamadas,Abuso sexual,106
2022,Abril,4,1/4/2022,Llamadas,Violencia de género,4451
2022,Abril,4,1/4/2022,Llamadas,Violencia familiar en curso,4116
2022,Abril,4,1/4/2022,Llamadas,Violencia familiar histórica,33
2022,Agosto,8,1/8/2022,Intervenciones,Abuso sexual,71
2022,Agosto,8,1/8/2022,Intervenciones,Violencia de género,3263
2022,Agosto,8,1/8/2022,Intervenciones,Violencia familiar en curso,3178
2022,Agosto,8,1/8/2022,Intervenciones,Violencia familiar histórica,34
2022,Agosto,8,1/8/2022,Intervenciones SAMEC,Abuso sexual,31
2022,Agosto,8,1/8/2022,Intervenciones SAMEC,Violencia de género,1069
2022,Agosto,8,1/8/2022,Intervenciones SAMEC,Violencia familiar en curso,545
2022,Agosto,8,1/8/2022,Intervenciones SAMEC,Violencia familiar histórica,0
2022,Agosto,8,1/8/2022,Llamadas,Abuso sexual,104
2022,Agosto,8,1/8/2022,Llamadas,Violencia de género,4334
2022,Agosto,8,1/8/2022,Llamadas,Violencia familiar en curso,3726
2022,Agosto,8,1/8/2022,Llamadas,Violencia familiar histórica,35
2022,Diciembre,12,1/12/2022,Intervenciones,Abuso sexual,47
2022,Diciembre,12,1/12/2022,Intervenciones,Violencia de género,3278
2022,Diciembre,12,1/12/2022,Intervenciones,Violencia familiar en curso,3449
2022,Diciembre,12,1/12/2022,Intervenciones,Violencia familiar histórica,29
2022,Diciembre,12,1/12/2022,Intervenciones SAMEC,Abuso sexual,29
2022,Diciembre,12,1/12/2022,Intervenciones SAMEC,Violencia de género,1291
2022,Diciembre,12,1/12/2022,Intervenciones SAMEC,Violencia familiar en curso,652
2022,Diciembre,12,1/12/2022,Intervenciones SAMEC,Violencia familiar histórica,0
2022,Diciembre,12,1/12/2022,Llamadas,Abuso sexual,106
2022,Diciembre,12,1/12/2022,Llamadas,Violencia de género,5867
2022,Diciembre,12,1/12/2022,Llamadas,Violencia familiar en curso,5435
2022,Diciembre,12,1/12/2022,Llamadas,Violencia familiar histórica,31
2022,Enero,1,1/1/2022,Intervenciones,Abuso sexual,50
2022,Enero,1,1/1/2022,Intervenciones,Violencia de género,2789
2022,Enero,1,1/1/2022,Intervenciones,Violencia familiar en curso,3339
2022,Enero,1,1/1/2022,Intervenciones,Violencia familiar histórica,31
2022,Enero,1,1/1/2022,Intervenciones SAMEC,Abuso sexual,21
