Año,Trimestre,Mes,Mes_ord,Distrito,Organismo,Tipo,Cantidad
2024,2,Abril,4,Cafayate,Comisarías,Familiar,8
2024,2,Abril,4,Cafayate,Comisarías,Género,29
2024,2,Abril,4,Cafayate,Comisarías,No penal,10
2024,2,Abril,4,Cafayate,Fiscalías,Familiar,0
2024,2,Abril,4,Cafayate,Fiscalías,Género,2
2024,2,Abril,4,Cafayate,Fiscalías,No penal,0
2024,2,Abril,4,Orán,Comisarías,Familiar,19
2024,2,Abril,4,Orán,Comisarías,Género,201
2024,2,Abril,4,Orán,Comisarías,No penal,106
2024,2,Abril,4,Orán,Fiscalías,Familiar,0
2024,2,Abril,4,Orán,Fiscalías,Género,3
2024,2,Abril,4,Orán,Fiscalías,No penal,0
2024,2,Abril,4,Orán,OVFG,Familiar,1
2024,2,Abril,4,Orán,OVFG,Género,17
2024,2,Abril,4,Orán,OVFG,No penal,4
2024,2,Abril,4,Metán,Comisarías,Familiar,2
2024,2,Abril,4,Metán,Comisarías,Género,144
2024,2,Abril,4,Metán,Comisarías,No penal,35
2024,2,Abril,4,Metán,Fiscalías,Familiar,0
2024,2,Abril,4,Metán,Fiscalías,Género,5
2024,2,Abril,4,Metán,Fiscalías,No penal,0
2024,2,Abril,4,Metán,OVFG,Familiar,0
2024,2,Abril,4,Metán,OVFG,Género,7
2024,2,Abril,4,Metán,OVFG,No penal,5
2024,2,Abril,4,Anta,Comisarías,Familiar,0
2024,2,Abril,4,Anta,Comisarías,Género,23
2024,2,Abril,4,Anta,Comisarías,No penal,13
2024,2,Abril,4,Anta,Fiscalías,Familiar,0
2024,2,Abril,4,Anta,Fiscalías,Género,4
2024,2,Abril,4,Anta,Fiscalías,No penal,0
2024,2,Abril,4,Anta,OVFG,Familiar,0
2024,2,Abril,4,Anta,OVFG,Género,1
2024,2,Abril,4,Anta,OVFG,No penal,7
2024,2,Abril,4,Tartagal,Comisarías,Familiar,9
2024,2,Abril,4,Tartagal,Comisarías,Género,225
