Año,Mes,Distrito,Dependencia,Tipo,Cantidad
2023,Noviembre,Centro,Judiciales,Penal por violencia de género,157
2023,Noviembre,Centro,Judiciales,Penal por violencia familiar,52
2023,Noviembre,Centro,Judiciales,Violencia no penal,57
2023,Noviembre,Centro,Judiciales,Penal,858
2023,Noviembre,Centro,Policiales,Penal por violencia de género,978
2023,Noviembre,Centro,Policiales,Penal por violencia familiar,314
2023,Noviembre,Centro,Policiales,Violencia no penal,476
2023,Noviembre,Centro,Policiales,Penal,5739
2023,Noviembre,Cafayate,Judiciales,Penal por violencia de género,2
2023,Noviembre,Cafayate,Judiciales,Penal por violencia familiar,0
2023,Noviembre,Cafayate,Judiciales,Violencia no penal,0
2023,Noviembre,Cafayate,Judiciales,Penal,6
2023,Noviembre,Cafayate,Policiales,Penal por violencia de género,24
2023,Noviembre,Cafayate,Policiales,Penal por violencia familiar,6
2023,Noviembre,Cafayate,Policiales,Violencia no penal,33
2023,Noviembre,Cafayate,Policiales,Penal,129
2023,Noviembre,Orán,Judiciales,Penal por violencia de género,41
2023,Noviembre,Orán,Judiciales,Penal por violencia familiar,0
2023,Noviembre,Orán,Judiciales,Violencia no penal,9
2023,Noviembre,Orán,Judiciales,Penal,38
2023,Noviembre,Orán,Policiales,Penal por violencia de género,170
2023,Noviembre,Orán,Policiales,Penal por violencia familiar,5
2023,Noviembre,Orán,Policiales,Violencia no penal,78
2023,Noviembre,Orán,Policiales,Penal,842
2023,Noviembre,Metán,Judiciales,Penal por violencia de género,8
2023,Noviembre,Metán,Judiciales,Penal por violencia familiar,0
2023,Noviembre,Metán,Judiciales,Violencia no penal,18
2023,Noviembre,Metán,Judiciales,Penal,25
2023,Noviembre,Metán,Policiales,Penal por violencia de género,194
2023,Noviembre,Metán,Policiales,Penal por violencia familiar,0
2023,Noviembre,Metán,Policiales,Violencia no penal,56
2023,Noviembre,Metán,Policiales,Penal,697
2023,Noviembre,Anta,Judiciales,Penal por violencia de género,2
2023,Noviembre,Anta,Judiciales,Penal por violencia familiar,0
2023,Noviembre,Anta,Judiciales,Violencia no penal,14
2023,Noviembre,Anta,Judiciales,Penal,9
2023,Noviembre,Anta,Policiales,Penal por violencia de género,17
2023,Noviembre,Anta,Policiales,Penal por violencia familiar,0
2023,Noviembre,Anta,Policiales,Violencia no penal,15
2023,Noviembre,Anta,Policiales,Penal,88
2023,Noviembre,Tartagal,Judiciales,Penal por violencia de género,10
2023,Noviembre,Tartagal,Judiciales,Penal por violencia familiar,0
2023,Noviembre,Tartagal,Judiciales,Violencia no penal,13
2023,Noviembre,Tartagal,Judiciales,Penal,16
2023,Noviembre,Tartagal,Policiales,Penal por violencia de género,267
2023,Noviembre,Tartagal,Policiales,Penal por violencia familiar,3
2023,Noviembre,Tartagal,Policiales,Violencia no penal,187
2023,Noviembre,Tartagal,Policiales,Penal,1128
2023,Diciembre,Centro,Judiciales,Penal por violencia de género,166
2023,Diciembre,Centro,Judiciales,Penal por violencia familiar,76
2023,Diciembre,Centro,Judiciales,Violencia no penal,30
2023,Diciembre,Centro,Judiciales,Penal,991
2023,Diciembre,Centro,Policiales,Penal por violencia de género,1027
2023,Diciembre,Centro,Policiales,Penal por violencia familiar,337
2023,Diciembre,Centro,Policiales,Violencia no penal,537
2023,Diciembre,Centro,Policiales,Penal,5686
2023,Diciembre,Cafayate,Judiciales,Penal por violencia de género,0
2023,Diciembre,Cafayate,Judiciales,Penal por violencia familiar,1
2023,Diciembre,Cafayate,Judiciales,Violencia no penal,0
2023,Diciembre,Cafayate,Judiciales,Penal,6
2023,Diciembre,Cafayate,Policiales,Penal por violencia de género,36
2023,Diciembre,Cafayate,Policiales,Penal por violencia familiar,9
2023,Diciembre,Cafayate,Policiales,Violencia no penal,15
2023,Diciembre,Cafayate,Policiales,Penal,130
2023,Diciembre,Orán,Judiciales,Penal por violencia de género,34
2023,Diciembre,Orán,Judiciales,Penal por violencia familiar,0
2023,Diciembre,Orán,Judiciales,Violencia no penal,8
2023,Diciembre,Orán,Judiciales,Penal,3
2023,Diciembre,Orán,Policiales,Penal por violencia de género,216
2023,Diciembre,Orán,Policiales,Penal por violencia familiar,8
2023,Diciembre,Orán,Policiales,Violencia no penal,64
2023,Diciembre,Orán,Policiales,Penal,881
2023,Diciembre,Metán,Judiciales,Penal por violencia de género,6
2023,Diciembre,Metán,Judiciales,Penal por violencia familiar,0
2023,Diciembre,Metán,Judiciales,Violencia no penal,7
2023,Diciembre,Metán,Judiciales,Penal,18
2023,Diciembre,Metán,Policiales,Penal por violencia de género,174
2023,Diciembre,Metán,Policiales,Penal por violencia familiar,5
2023,Diciembre,Metán,Policiales,Violencia no penal,51
2023,Diciembre,Metán,Policiales,Penal,756
2023,Diciembre,Anta,Judiciales,Penal por violencia de género,4
2023,Diciembre,Anta,Judiciales,Penal por violencia familiar,0
2023,Diciembre,Anta,Judiciales,Violencia no penal,16
2023,Diciembre,Anta,Judiciales,Penal,4
2023,Diciembre,Anta,Policiales,Penal por violencia de género,32
2023,Diciembre,Anta,Policiales,Penal por violencia familiar,1
2023,Diciembre,Anta,Policiales,Violencia no penal,6
2023,Diciembre,Anta,Policiales,Penal,131
2023,Diciembre,Tartagal,Judiciales,Penal por violencia de género,7
2023,Diciembre,Tartagal,Judiciales,Penal por violencia familiar,0
2023,Diciembre,Tartagal,Judiciales,Violencia no penal,8
2023,Diciembre,Tartagal,Judiciales,Penal,4
2023,Diciembre,Tartagal,Policiales,Penal por violencia de género,293
2023,Diciembre,Tartagal,Policiales,Penal por violencia familiar,14
2023,Diciembre,Tartagal,Policiales,Violencia no penal,169
2023,Diciembre,Tartagal,Policiales,Penal,1143
2024,Enero,Centro,Judiciales,Penal por violencia de género,122
2024,Enero,Centro,Judiciales,Penal por violencia familiar,56
2024,Enero,Centro,Judiciales,Violencia no penal,18
2024,Enero,Centro,Judiciales,Penal,481
2024,Enero,Centro,Policiales,Penal por violencia de género,1081
2024,Enero,Centro,Policiales,Penal por violencia familiar,357
2024,Enero,Centro,Policiales,Violencia no penal,656
2024,Enero,Centro,Policiales,Penal,5804
2024,Enero,Cafayate,Judiciales,Penal por violencia de género,0
2024,Enero,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Enero,Cafayate,Judiciales,Violencia no penal,0
2024,Enero,Cafayate,Judiciales,Penal,0
2024,Enero,Cafayate,Policiales,Penal por violencia de género,34
2024,Enero,Cafayate,Policiales,Penal por violencia familiar,9
2024,Enero,Cafayate,Policiales,Violencia no penal,19
2024,Enero,Cafayate,Policiales,Penal,132
2024,Enero,Orán,Judiciales,Penal por violencia de género,23
2024,Enero,Orán,Judiciales,Penal por violencia familiar,1
2024,Enero,Orán,Judiciales,Violencia no penal,7
2024,Enero,Orán,Judiciales,Penal,5
2024,Enero,Orán,Policiales,Penal por violencia de género,212
2024,Enero,Orán,Policiales,Penal por violencia familiar,22
2024,Enero,Orán,Policiales,Violencia no penal,104
2024,Enero,Orán,Policiales,Penal,808
2024,Enero,Metán,Judiciales,Penal por violencia de género,9
2024,Enero,Metán,Judiciales,Penal por violencia familiar,0
2024,Enero,Metán,Judiciales,Violencia no penal,4
2024,Enero,Metán,Judiciales,Penal,14
2024,Enero,Metán,Policiales,Penal por violencia de género,171
2024,Enero,Metán,Policiales,Penal por violencia familiar,3
2024,Enero,Metán,Policiales,Violencia no penal,59
2024,Enero,Metán,Policiales,Penal,740
2024,Enero,Anta,Judiciales,Penal por violencia de género,1
2024,Enero,Anta,Judiciales,Penal por violencia familiar,0
2024,Enero,Anta,Judiciales,Violencia no penal,6
2024,Enero,Anta,Judiciales,Penal,9
2024,Enero,Anta,Policiales,Penal por violencia de género,42
2024,Enero,Anta,Policiales,Penal por violencia familiar,0
2024,Enero,Anta,Policiales,Violencia no penal,10
2024,Enero,Anta,Policiales,Penal,147
2024,Enero,Tartagal,Judiciales,Penal por violencia de género,3
2024,Enero,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Enero,Tartagal,Judiciales,Violencia no penal,9
2024,Enero,Tartagal,Judiciales,Penal,6
2024,Enero,Tartagal,Policiales,Penal por violencia de género,271
2024,Enero,Tartagal,Policiales,Penal por violencia familiar,12
2024,Enero,Tartagal,Policiales,Violencia no penal,156
2024,Enero,Tartagal,Policiales,Penal,1123
2024,Febrero,Centro,Judiciales,Penal por violencia de género,141
2024,Febrero,Centro,Judiciales,Penal por violencia familiar,58
2024,Febrero,Centro,Judiciales,Violencia no penal,27
2024,Febrero,Centro,Judiciales,Penal,478
2024,Febrero,Centro,Policiales,Penal por violencia de género,988
2024,Febrero,Centro,Policiales,Penal por violencia familiar,343
2024,Febrero,Centro,Policiales,Violencia no penal,620
2024,Febrero,Centro,Policiales,Penal,5644
2024,Febrero,Cafayate,Judiciales,Penal por violencia de género,0
2024,Febrero,Cafayate,Judiciales,Penal por violencia familiar,0
2024,Febrero,Cafayate,Judiciales,Violencia no penal,0
2024,Febrero,Cafayate,Judiciales,Penal,2
2024,Febrero,Cafayate,Policiales,Penal por violencia de género,39
2024,Febrero,Cafayate,Policiales,Penal por violencia familiar,6
2024,Febrero,Cafayate,Policiales,Violencia no penal,19
2024,Febrero,Cafayate,Policiales,Penal,152
2024,Febrero,Orán,Judiciales,Penal por violencia de género,19
2024,Febrero,Orán,Judiciales,Penal por violencia familiar,1
2024,Febrero,Orán,Judiciales,Violencia no penal,16
2024,Febrero,Orán,Judiciales,Penal,14
2024,Febrero,Orán,Policiales,Penal por violencia de género,193
2024,Febrero,Orán,Policiales,Penal por violencia familiar,18
2024,Febrero,Orán,Policiales,Violencia no penal,76
2024,Febrero,Orán,Policiales,Penal,863
2024,Febrero,Metán,Judiciales,Penal por violencia de género,19
2024,Febrero,Metán,Judiciales,Penal por violencia familiar,1
2024,Febrero,Metán,Judiciales,Violencia no penal,8
2024,Febrero,Metán,Judiciales,Penal,10
2024,Febrero,Metán,Policiales,Penal por violencia de género,152
2024,Febrero,Metán,Policiales,Penal por violencia familiar,3
2024,Febrero,Metán,Policiales,Violencia no penal,54
2024,Febrero,Metán,Policiales,Penal,651
2024,Febrero,Anta,Judiciales,Penal por violencia de género,4
2024,Febrero,Anta,Judiciales,Penal por violencia familiar,0
2024,Febrero,Anta,Judiciales,Violencia no penal,10
2024,Febrero,Anta,Judiciales,Penal,10
2024,Febrero,Anta,Policiales,Penal por violencia de género,33
2024,Febrero,Anta,Policiales,Penal por violencia familiar,0
2024,Febrero,Anta,Policiales,Violencia no penal,14
2024,Febrero,Anta,Policiales,Penal,107
2024,Febrero,Tartagal,Judiciales,Penal por violencia de género,6
2024,Febrero,Tartagal,Judiciales,Penal por violencia familiar,0
2024,Febrero,Tartagal,Judiciales,Violencia no penal,14
2024,Febrero,Tartagal,Judiciales,Penal,6
2024,Febrero,Tartagal,Policiales,Penal por violencia de género,246
2024,Febrero,Tartagal,Policiales,Penal por violencia familiar,4
2024,Febrero,Tartagal,Policiales,Violencia no penal,157
2024,Febrero,Tartagal,Policiales,Penal,1018
2024,Marzo,Centro,Judiciales,Penal por violencia de género,163
2024,Marzo,Centro,Judiciales,Penal por violencia familiar,62
