Año,Dia,Dia_num,Cantidad
2020,Domingo,7,19152
2020,Jueves,4,9333
2020,Lunes,1,12071
2020,Martes,2,8553
2020,Miércoles,3,10165
2020,Sábado,6,14949
2020,Viernes,5,10422
2021,Domingo,7,18136
2021,Jueves,4,8310
2021,Lunes,1,11262
2021,Martes,2,8453
2021,Miércoles,3,8549
2021,Sábado,6,14297
2021,Viernes,5,10837
2022,Domingo,7,21247
2022,Jueves,4,10356
2022,Lunes,1,13296
2022,Martes,2,10303
2022,Miércoles,3,10701
2022,Sábado,6,16779
2022,Viernes,5,10559
2023,Domingo,7,18200
2023,Jueves,4,9308
2023,Lunes,1,11996
2023,Martes,2,9624
2023,Miércoles,3,9346
2023,Sábado,6,13558
2023,Viernes,5,10202
2024,Domingo,7,18812
2024,Jueves,4,9652
2024,Lunes,1,12624
2024,Martes,2,9574
2024,Miércoles,3,10603
2024,Sábado,6,14529
2024,Viernes,5,10302
