Año,Hora,Cantidad
2020,0,6130
2020,1,4980
2020,2,3513
2020,3,3237
2020,4,2580
2020,5,2292
2020,6,2034
2020,7,1726
2020,8,1632
2020,9,1822
2020,10,2444
2020,11,2706
2020,12,3113
2020,13,3395
2020,14,3478
2020,15,3075
2020,16,3092
2020,17,3044
2020,18,3350
2020,19,4125
2020,20,5218
2020,21,5761
2020,22,6100
2020,23,5795
2021,0,5636
2021,1,4339
2021,2,3577
2021,3,2818
2021,4,2115
2021,5,1896
2021,6,1743
2021,7,1696
2021,8,1655
2021,9,1980
2021,10,2315
2021,11,2840
2021,12,3257
2021,13,3612
2021,14,3371
2021,15,3099
2021,16,3032
2021,17,2678
2021,18,3226
2021,19,4034
2021,20,4613
2021,21,5368
2021,22,5618
2021,23,5323
2022,0,6310
2022,1,4725
2022,2,3576
2022,3,3072
2022,4,2567
2022,5,3004
2022,6,2562
2022,7,2204
2022,8,2137
2022,9,2482
2022,10,3028
2022,11,3364
2022,12,3870
2022,13,4336
2022,14,4543
2022,15,3498
2022,16,2986
2022,17,3133
2022,18,3714
2022,19,4468
2022,20,5334
2022,21,5754
2022,22,6201
2022,23,6343
2023,0,4886
2023,1,4200
2023,2,3220
2023,3,2598
2023,4,2393
2023,5,2540
2023,6,2338
2023,7,1976
2023,8,1980
2023,9,2216
2023,10,2682
2023,11,3204
2023,12,3388
2023,13,4030
2023,14,3842
2023,15,3320
2023,16,3022
2023,17,2812
2023,18,3434
2023,19,3990
2023,20,4524
2023,21,4864
2023,22,5420
2023,23,5354
2024,0,5475
2024,1,4502
2024,2,3255
2024,3,2447
2024,4,2276
2024,5,2517
2024,6,2134
2024,7,2188
2024,8,2038
2024,9,2298
2024,10,2812
2024,11,3348
2024,12,4058
2024,13,4124
2024,14,4207
2024,15,3696
2024,16,3281
2024,17,3313
2024,18,3467
2024,19,4131
2024,20,4560
2024,21,5184
2024,22,5452
2024,23,5333
