Municipio,Area,ID
Chicoana,TRUE,660091
Aguaray,TRUE,660126
Angastaco,TRUE,660378
Animaná,TRUE,660385
Apolinario Saravia,TRUE,660007
Cachi,TRUE,660042
Cafayate,TRUE,660056
Campo Quijano,TRUE,660364
Campo Santo,TRUE,660106
Colonia Santa Rosa,TRUE,660294
Coronel Moldes,TRUE,660231
El Bordo,TRUE,660112
El Carril,TRUE,660098
El Jardín,TRUE,660203
El Quebrachal,TRUE,660014
Embarcación,TRUE,660133
General Ballivián,TRUE,660140
General Mosconi,TRUE,660147
El Galpón,TRUE,660259
General Güemes,TRUE,660119
General Pizarro,TRUE,660021
Guachipas,FALSE,660168
Hipólito Yrigoyen,TRUE,660301
Iruya,TRUE,660175
Isla de Cañas,TRUE,660182
Joaquín Victor González,TRUE,660028
La Caldera,TRUE,660189
La Candelaria,FALSE,660217
La Merced,TRUE,660084
La Viña,TRUE,660238
Las Lajitas,TRUE,660105
Los Toldos,FALSE,660399
Metán,TRUE,660420
Molinos,FALSE,660273
Pichanal,FALSE,660308
Salvador Mazza,TRUE,660154
Río Piedras,FALSE,660280
Rosario de la Frontera,TRUE,660357
Rosario de Lerma,FALSE,660371
Capital,TRUE,660063
San Antonio de los Cobres,FALSE,660245
San Carlos,TRUE,660392
Cerrillos,TRUE,660077
San Lorenzo,TRUE,660070
San Ramón de la Nueva Orán,TRUE,660315
Santa victoria este,FALSE,660343
Seclantás,TRUE,660287
Tartagal,TRUE,660161
Urundel,TRUE,660322
Vaqueros,TRUE,660196
La Poma,TRUE,660224
Rivadavia Banda Sur,FALSE,660336
