Año,Medida,Cantidad
2024,Abstenerse de ejercer actos de violencia,8594
2023,Abstenerse de ejercer actos de violencia,11835
2024,Alojamiento en un hogar de protección,1
2023,Alojamiento en un hogar de protección,1
2024,Astreintes,0
2024,Capacitación Obligatoria S/Ley 27449 (Ley Micaela),4
2024,Consigna Personalizada para el Denunciado,48
2024,Consigna Personalizada para la Victima,36
2024,Consigna policial ambulatoria,6913
2023,Consigna policial ambulatoria,8761
2024,Consigna policial fija,5241
2023,Consigna policial fija,6898
2024,Cuidado personal unilateral provisorio,15
2023,Cuidado personal unilateral provisorio,16
2024,Derecho de Comunicación provisorio,13
2023,Derecho de Comunicación provisorio,5
2024,Exclusión del hogar,1723
2023,Exclusión del hogar,2430
2024,Fijación alimentos provisorios,11
2023,Fijación alimentos provisorios,22
2024,Fijación de cuidado personal unilateral,2
2023,Fijación de cuidado personal unilateral,5
2024,Guarda Provisoria,12
2024,Informes de OVFG y otros tipos de informes,4537
2024,Intima a cumplir deberes de hijo/a resp. Progenitores,10
2024,Intima a cumplir deberes inherentes a la resp. Parental,103
2024,Medidas Administrativas,16
2023,Medidas Administrativas,59
2024,Medidas Patronales,4
2023,Medidas Patronales,5
2024,Otras,8392
2023,Otras,9629
2023,Otros tipos de Informes,5237
2023,Prohibición de acercamiento,8811
2024,Prohibición de acercamiento y/o contacto,6432
2024,Prohibición de castigos conforme art. 647 C.C.C.N.,26
2024,Prohibición de compra y tenencia de armas,2
2024,Prohibición de Contacto por medios de comunicación,111
2023,Prohibición de Contacto por medios de comunicación,692
2024,Prohibición de disponer de los bienes,1
2023,Prohibición de disponer de los bienes,4
2024,Provisión de dispositivos de alarma,546
2023,Provisión de dispositivos de alarma,811
2024,Reintegro al domicilio,50
2023,Reintegro al domicilio,71
2024,Secuestro de armas,11
2023,Secuestro de armas,6
2024,Subsidios estatales,12
2023,Subsidios estatales,12
2024,Suspension del régimen de comunicación,28
2023,Suspension del régimen de comunicación,27
2024,Trabajos comunitarios,1
2024,Tratamiento psicológico,604
2023,Tratamiento psicológico,718
