Año,Mes,Mes_num,Dia,Dia_num,Accion,Tipo,Cantidad
2020,Enero,1,Domingo,7,Intervenciones,Abuso sexual,10
2020,Enero,1,Domingo,7,Intervenciones,Violencia de género,145
2020,Enero,1,Domingo,7,Intervenciones,Violencia familiar en curso,1160
2020,Enero,1,Domingo,7,Intervenciones,Violencia familiar histórica,5
2020,Enero,1,Domingo,7,Intervenciones SAMEC,Abuso sexual,3
2020,Enero,1,Domingo,7,Intervenciones SAMEC,Violencia de género,7
2020,Enero,1,Domingo,7,Intervenciones SAMEC,Violencia familiar en curso,177
2020,Enero,1,Domingo,7,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Domingo,7,Llamadas,Abuso sexual,15
2020,Enero,1,Domingo,7,Llamadas,Violencia de género,204
2020,Enero,1,Domingo,7,Llamadas,Violencia familiar en curso,1556
2020,Enero,1,Domingo,7,Llamadas,Violencia familiar histórica,6
2020,Enero,1,Jueves,4,Intervenciones,Abuso sexual,7
2020,Enero,1,Jueves,4,Intervenciones,Violencia de género,68
2020,Enero,1,Jueves,4,Intervenciones,Violencia familiar en curso,742
2020,Enero,1,Jueves,4,Intervenciones,Violencia familiar histórica,3
2020,Enero,1,Jueves,4,Intervenciones SAMEC,Abuso sexual,2
2020,Enero,1,Jueves,4,Intervenciones SAMEC,Violencia de género,2
2020,Enero,1,Jueves,4,Intervenciones SAMEC,Violencia familiar en curso,97
2020,Enero,1,Jueves,4,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Jueves,4,Llamadas,Abuso sexual,12
2020,Enero,1,Jueves,4,Llamadas,Violencia de género,88
2020,Enero,1,Jueves,4,Llamadas,Violencia familiar en curso,959
2020,Enero,1,Jueves,4,Llamadas,Violencia familiar histórica,3
2020,Enero,1,Lunes,1,Intervenciones,Abuso sexual,9
2020,Enero,1,Lunes,1,Intervenciones,Violencia de género,81
2020,Enero,1,Lunes,1,Intervenciones,Violencia familiar en curso,711
2020,Enero,1,Lunes,1,Intervenciones,Violencia familiar histórica,0
2020,Enero,1,Lunes,1,Intervenciones SAMEC,Abuso sexual,3
2020,Enero,1,Lunes,1,Intervenciones SAMEC,Violencia de género,4
2020,Enero,1,Lunes,1,Intervenciones SAMEC,Violencia familiar en curso,104
2020,Enero,1,Lunes,1,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Lunes,1,Llamadas,Abuso sexual,13
2020,Enero,1,Lunes,1,Llamadas,Violencia de género,114
2020,Enero,1,Lunes,1,Llamadas,Violencia familiar en curso,937
2020,Enero,1,Lunes,1,Llamadas,Violencia familiar histórica,2
2020,Enero,1,Martes,2,Intervenciones,Abuso sexual,8
2020,Enero,1,Martes,2,Intervenciones,Violencia de género,41
2020,Enero,1,Martes,2,Intervenciones,Violencia familiar en curso,525
2020,Enero,1,Martes,2,Intervenciones,Violencia familiar histórica,5
2020,Enero,1,Martes,2,Intervenciones SAMEC,Abuso sexual,4
2020,Enero,1,Martes,2,Intervenciones SAMEC,Violencia de género,0
2020,Enero,1,Martes,2,Intervenciones SAMEC,Violencia familiar en curso,70
2020,Enero,1,Martes,2,Intervenciones SAMEC,Violencia familiar histórica,1
2020,Enero,1,Martes,2,Llamadas,Abuso sexual,13
2020,Enero,1,Martes,2,Llamadas,Violencia de género,52
2020,Enero,1,Martes,2,Llamadas,Violencia familiar en curso,660
2020,Enero,1,Martes,2,Llamadas,Violencia familiar histórica,6
2020,Enero,1,Miércoles,3,Intervenciones,Abuso sexual,14
2020,Enero,1,Miércoles,3,Intervenciones,Violencia de género,111
2020,Enero,1,Miércoles,3,Intervenciones,Violencia familiar en curso,1072
2020,Enero,1,Miércoles,3,Intervenciones,Violencia familiar histórica,5
2020,Enero,1,Miércoles,3,Intervenciones SAMEC,Abuso sexual,6
2020,Enero,1,Miércoles,3,Intervenciones SAMEC,Violencia de género,3
2020,Enero,1,Miércoles,3,Intervenciones SAMEC,Violencia familiar en curso,152
2020,Enero,1,Miércoles,3,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Miércoles,3,Llamadas,Abuso sexual,23
2020,Enero,1,Miércoles,3,Llamadas,Violencia de género,143
2020,Enero,1,Miércoles,3,Llamadas,Violencia familiar en curso,1516
2020,Enero,1,Miércoles,3,Llamadas,Violencia familiar histórica,5
2020,Enero,1,Sábado,6,Intervenciones,Abuso sexual,8
2020,Enero,1,Sábado,6,Intervenciones,Violencia de género,69
2020,Enero,1,Sábado,6,Intervenciones,Violencia familiar en curso,841
2020,Enero,1,Sábado,6,Intervenciones,Violencia familiar histórica,6
2020,Enero,1,Sábado,6,Intervenciones SAMEC,Abuso sexual,6
2020,Enero,1,Sábado,6,Intervenciones SAMEC,Violencia de género,7
2020,Enero,1,Sábado,6,Intervenciones SAMEC,Violencia familiar en curso,119
2020,Enero,1,Sábado,6,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Sábado,6,Llamadas,Abuso sexual,15
2020,Enero,1,Sábado,6,Llamadas,Violencia de género,105
2020,Enero,1,Sábado,6,Llamadas,Violencia familiar en curso,1098
2020,Enero,1,Sábado,6,Llamadas,Violencia familiar histórica,7
2020,Enero,1,Viernes,5,Intervenciones,Abuso sexual,5
2020,Enero,1,Viernes,5,Intervenciones,Violencia de género,82
2020,Enero,1,Viernes,5,Intervenciones,Violencia familiar en curso,744
2020,Enero,1,Viernes,5,Intervenciones,Violencia familiar histórica,3
2020,Enero,1,Viernes,5,Intervenciones SAMEC,Abuso sexual,1
2020,Enero,1,Viernes,5,Intervenciones SAMEC,Violencia de género,5
2020,Enero,1,Viernes,5,Intervenciones SAMEC,Violencia familiar en curso,77
2020,Enero,1,Viernes,5,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Enero,1,Viernes,5,Llamadas,Abuso sexual,8
2020,Enero,1,Viernes,5,Llamadas,Violencia de género,111
2020,Enero,1,Viernes,5,Llamadas,Violencia familiar en curso,941
2020,Enero,1,Viernes,5,Llamadas,Violencia familiar histórica,3
2020,Febrero,2,Domingo,7,Intervenciones,Abuso sexual,8
2020,Febrero,2,Domingo,7,Intervenciones,Violencia de género,109
2020,Febrero,2,Domingo,7,Intervenciones,Violencia familiar en curso,1037
2020,Febrero,2,Domingo,7,Intervenciones,Violencia familiar histórica,5
2020,Febrero,2,Domingo,7,Intervenciones SAMEC,Abuso sexual,5
2020,Febrero,2,Domingo,7,Intervenciones SAMEC,Violencia de género,5
2020,Febrero,2,Domingo,7,Intervenciones SAMEC,Violencia familiar en curso,149
2020,Febrero,2,Domingo,7,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Febrero,2,Domingo,7,Llamadas,Abuso sexual,14
2020,Febrero,2,Domingo,7,Llamadas,Violencia de género,137
2020,Febrero,2,Domingo,7,Llamadas,Violencia familiar en curso,1367
2020,Febrero,2,Domingo,7,Llamadas,Violencia familiar histórica,6
2020,Febrero,2,Jueves,4,Intervenciones,Abuso sexual,4
2020,Febrero,2,Jueves,4,Intervenciones,Violencia de género,39
2020,Febrero,2,Jueves,4,Intervenciones,Violencia familiar en curso,551
2020,Febrero,2,Jueves,4,Intervenciones,Violencia familiar histórica,5
2020,Febrero,2,Jueves,4,Intervenciones SAMEC,Abuso sexual,4
2020,Febrero,2,Jueves,4,Intervenciones SAMEC,Violencia de género,2
2020,Febrero,2,Jueves,4,Intervenciones SAMEC,Violencia familiar en curso,83
2020,Febrero,2,Jueves,4,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Febrero,2,Jueves,4,Llamadas,Abuso sexual,9
2020,Febrero,2,Jueves,4,Llamadas,Violencia de género,47
2020,Febrero,2,Jueves,4,Llamadas,Violencia familiar en curso,704
2020,Febrero,2,Jueves,4,Llamadas,Violencia familiar histórica,8
2020,Febrero,2,Lunes,1,Intervenciones,Abuso sexual,7
2020,Febrero,2,Lunes,1,Intervenciones,Violencia de género,72
2020,Febrero,2,Lunes,1,Intervenciones,Violencia familiar en curso,739
2020,Febrero,2,Lunes,1,Intervenciones,Violencia familiar histórica,4
2020,Febrero,2,Lunes,1,Intervenciones SAMEC,Abuso sexual,5
2020,Febrero,2,Lunes,1,Intervenciones SAMEC,Violencia de género,8
2020,Febrero,2,Lunes,1,Intervenciones SAMEC,Violencia familiar en curso,133
2020,Febrero,2,Lunes,1,Intervenciones SAMEC,Violencia familiar histórica,0
2020,Febrero,2,Lunes,1,Llamadas,Abuso sexual,15
2020,Febrero,2,Lunes,1,Llamadas,Violencia de género,106
2020,Febrero,2,Lunes,1,Llamadas,Violencia familiar en curso,1081
2020,Febrero,2,Lunes,1,Llamadas,Violencia familiar histórica,5
