Año,Distrito,Modalidad,Frecuencia
2020,Centro,Acoso callejero,18
2020,Norte-Orán,Acoso callejero,49
2020,Norte-Tartagal,Acoso callejero,9
2020,Sur-Metán,Acoso callejero,11
2020,Centro,Doméstica,8048
2020,Norte-Orán,Doméstica,1162
2020,Norte-Tartagal,Doméstica,1923
2020,Sur-Metán,Doméstica,665
2020,Centro,Institucional,5
2020,Norte-Orán,Institucional,0
2020,Norte-Tartagal,Institucional,2
2020,Sur-Metán,Institucional,1
2020,Centro,Laboral,26
2020,Norte-Orán,Laboral,7
2020,Norte-Tartagal,Laboral,2
2020,Sur-Metán,Laboral,10
2020,Centro,Mediática,2
2020,Norte-Orán,Mediática,19
2020,Norte-Tartagal,Mediática,1
2020,Sur-Metán,Mediática,1
2020,Centro,Obstétrica,0
2020,Norte-Orán,Obstétrica,1
2020,Norte-Tartagal,Obstétrica,1
2020,Sur-Metán,Obstétrica,1
2020,Centro,Otras,0
2020,Norte-Orán,Otras,0
2020,Norte-Tartagal,Otras,0
2020,Sur-Metán,Otras,0
2020,Centro,Política,0
2020,Norte-Orán,Política,0
2020,Norte-Tartagal,Política,0
2020,Sur-Metán,Política,0
2020,Centro,Sin especificar,47
2020,Norte-Orán,Sin especificar,148
2020,Norte-Tartagal,Sin especificar,0
2020,Sur-Metán,Sin especificar,12
2021,Centro,Acoso callejero,12
2021,Norte-Orán,Acoso callejero,14
2021,Norte-Tartagal,Acoso callejero,12
2021,Sur-Metán,Acoso callejero,3
2021,Centro,Doméstica,9334
2021,Norte-Orán,Doméstica,1630
2021,Norte-Tartagal,Doméstica,2237
2021,Sur-Metán,Doméstica,854
2021,Centro,Institucional,11
2021,Norte-Orán,Institucional,1
2021,Norte-Tartagal,Institucional,3
2021,Sur-Metán,Institucional,3
2021,Centro,Laboral,23
2021,Norte-Orán,Laboral,7
2021,Norte-Tartagal,Laboral,4
2021,Sur-Metán,Laboral,11
2021,Centro,Mediática,5
2021,Norte-Orán,Mediática,6
2021,Norte-Tartagal,Mediática,2
2021,Sur-Metán,Mediática,1
2021,Centro,Obstétrica,2
2021,Norte-Orán,Obstétrica,0
2021,Norte-Tartagal,Obstétrica,0
2021,Sur-Metán,Obstétrica,1
2021,Centro,Otras,13
2021,Norte-Orán,Otras,20
2021,Norte-Tartagal,Otras,31
2021,Sur-Metán,Otras,18
2021,Centro,Política,0
2021,Norte-Orán,Política,1
2021,Norte-Tartagal,Política,0
2021,Sur-Metán,Política,1
2021,Centro,Sin especificar,385
2021,Norte-Orán,Sin especificar,14
2021,Norte-Tartagal,Sin especificar,0
2021,Sur-Metán,Sin especificar,3
2022,Centro,Acoso callejero,10
2022,Norte-Orán,Acoso callejero,16
2022,Norte-Tartagal,Acoso callejero,4
2022,Sur-Anta,Acoso callejero,5
2022,Sur-Metán,Acoso callejero,5
2022,Centro,Doméstica,8528
2022,Norte-Orán,Doméstica,1894
2022,Norte-Tartagal,Doméstica,2315
2022,Sur-Anta,Doméstica,382
2022,Sur-Metán,Doméstica,865
2022,Centro,Institucional,14
2022,Norte-Orán,Institucional,2
2022,Norte-Tartagal,Institucional,2
2022,Sur-Anta,Institucional,4
2022,Sur-Metán,Institucional,0
2022,Centro,Laboral,34
2022,Norte-Orán,Laboral,7
2022,Norte-Tartagal,Laboral,7
2022,Sur-Anta,Laboral,4
2022,Sur-Metán,Laboral,10
2022,Centro,Mediática,5
2022,Norte-Orán,Mediática,1
2022,Norte-Tartagal,Mediática,1
2022,Sur-Anta,Mediática,1
2022,Sur-Metán,Mediática,0
2022,Centro,Obstétrica,0
2022,Norte-Orán,Obstétrica,0
2022,Norte-Tartagal,Obstétrica,0
2022,Sur-Anta,Obstétrica,0
2022,Sur-Metán,Obstétrica,2
2022,Centro,Otras,24
2022,Norte-Orán,Otras,26
2022,Norte-Tartagal,Otras,29
2022,Sur-Anta,Otras,5
2022,Sur-Metán,Otras,26
2022,Centro,Política,3
2022,Norte-Orán,Política,0
2022,Norte-Tartagal,Política,2
2022,Sur-Anta,Política,0
2022,Sur-Metán,Política,0
2022,Centro,Sin especificar,163
2022,Norte-Orán,Sin especificar,76
2022,Norte-Tartagal,Sin especificar,28
2022,Sur-Anta,Sin especificar,11
2022,Sur-Metán,Sin especificar,0
2023,Sur-Anta,Acoso callejero,0
2023,Sur-Anta,Doméstica,196
2023,Sur-Anta,Institucional,0
2023,Sur-Anta,Laboral,1
2023,Sur-Anta,Mediática,0
2023,Sur-Anta,Obstétrica,0
2023,Sur-Anta,Otras,2
2023,Sur-Anta,Sin Especificar,2
2023,Sur-Anta,Política,0
2023,Centro,Acoso callejero,1
2023,Centro,Doméstica,1972
2023,Centro,Doméstica,6290
2023,Centro,Acoso callejero,17
2023,Centro,Institucional,9
2023,Centro,Laboral,48
2023,Centro,Mediática,0
2023,Centro,Mediática,0
2023,Centro,Obstétrica,0
2023,Centro,Obstétrica,1
2023,Centro,Otras,40
2023,Centro,Política,1
2023,Centro,Sin especificar,124
2023,Centro,Política,1
2023,Sur-Metán,Acoso callejero,8
2023,Sur-Metán,Doméstica,978
2023,Sur-Metán,Institucional,2
2023,Sur-Metán,Laboral,8
2023,Sur-Metán,Mediática,4
2023,Sur-Metán,Obstétrica,0
2023,Sur-Metán,Otras,17
2023,Sur-Metán,Sin especificar,0
2023,Sur-Metán,Política,2
2023,Norte-Orán,Acoso callejero,4
2023,Norte-Orán,Doméstica,1686
2023,Norte-Orán,Institucional,1
2023,Norte-Orán,Laboral,2
2023,Norte-Orán,Mediática,2
2023,Norte-Orán,Obstétrica,0
2023,Norte-Orán,Otras,43
2023,Norte-Orán,Sin especificar,77
2023,Norte-Orán,Política,0
2023,Norte-Tartagal,Acoso callejero,11
2023,Norte-Tartagal,Doméstica,2006
2023,Norte-Tartagal,Institucional,2
2023,Norte-Tartagal,Laboral,5
2023,Norte-Tartagal,Mediática,1
2023,Norte-Tartagal,Obstétrica,0
2023,Norte-Tartagal,Otras,87
2023,Norte-Tartagal,Sin especificar,70
2023,Norte-Tartagal,Política,0
2024,Centro,Acoso callejero,20
2024,Centro,Doméstica,5889
2024,Centro,Institucional,10
2024,Centro,Laboral,19
2024,Centro,Mediática,5
2024,Centro,Obstétrica,1
