Año,Mes,Mes_num,Accion,Tipo,Hora,Cantidad
2022,Enero,1,Llamadas,Abuso sexual,0,8
2022,Febrero,2,Llamadas,Abuso sexual,0,5
2022,Marzo,3,Llamadas,Abuso sexual,0,0
2022,Abril,4,Llamadas,Abuso sexual,0,5
2022,Mayo,5,Llamadas,Abuso sexual,0,8
2022,Junio,6,Llamadas,Abuso sexual,0,7
2022,Enero,1,Llamadas,Abuso sexual,1,2
2022,Febrero,2,Llamadas,Abuso sexual,1,2
2022,Marzo,3,Llamadas,Abuso sexual,1,7
2022,Abril,4,Llamadas,Abuso sexual,1,1
2022,Mayo,5,Llamadas,Abuso sexual,1,11
2022,Junio,6,Llamadas,Abuso sexual,1,1
2022,Enero,1,Llamadas,Abuso sexual,2,4
2022,Febrero,2,Llamadas,Abuso sexual,2,4
2022,Marzo,3,Llamadas,Abuso sexual,2,1
2022,Abril,4,Llamadas,Abuso sexual,2,3
2022,Mayo,5,Llamadas,Abuso sexual,2,3
2022,Junio,6,Llamadas,Abuso sexual,2,6
2022,Enero,1,Llamadas,Abuso sexual,3,7
2022,Febrero,2,Llamadas,Abuso sexual,3,13
2022,Marzo,3,Llamadas,Abuso sexual,3,0
2022,Abril,4,Llamadas,Abuso sexual,3,0
2022,Mayo,5,Llamadas,Abuso sexual,3,0
2022,Junio,6,Llamadas,Abuso sexual,3,8
2022,Enero,1,Llamadas,Abuso sexual,4,0
2022,Febrero,2,Llamadas,Abuso sexual,4,5
2022,Marzo,3,Llamadas,Abuso sexual,4,3
2022,Abril,4,Llamadas,Abuso sexual,4,1
2022,Mayo,5,Llamadas,Abuso sexual,4,4
2022,Junio,6,Llamadas,Abuso sexual,4,4
2022,Enero,1,Llamadas,Abuso sexual,5,2
2022,Febrero,2,Llamadas,Abuso sexual,5,5
2022,Marzo,3,Llamadas,Abuso sexual,5,3
2022,Abril,4,Llamadas,Abuso sexual,5,4
2022,Mayo,5,Llamadas,Abuso sexual,5,7
2022,Junio,6,Llamadas,Abuso sexual,5,1
2022,Enero,1,Llamadas,Abuso sexual,6,1
2022,Febrero,2,Llamadas,Abuso sexual,6,6
2022,Marzo,3,Llamadas,Abuso sexual,6,5
2022,Abril,4,Llamadas,Abuso sexual,6,1
2022,Mayo,5,Llamadas,Abuso sexual,6,0
2022,Junio,6,Llamadas,Abuso sexual,6,4
2022,Enero,1,Llamadas,Abuso sexual,7,4
2022,Febrero,2,Llamadas,Abuso sexual,7,1
2022,Marzo,3,Llamadas,Abuso sexual,7,5
2022,Abril,4,Llamadas,Abuso sexual,7,4
2022,Mayo,5,Llamadas,Abuso sexual,7,3
2022,Junio,6,Llamadas,Abuso sexual,7,1
2022,Enero,1,Llamadas,Abuso sexual,8,5
2022,Febrero,2,Llamadas,Abuso sexual,8,2
2022,Marzo,3,Llamadas,Abuso sexual,8,1
2022,Abril,4,Llamadas,Abuso sexual,8,3
2022,Mayo,5,Llamadas,Abuso sexual,8,7
2022,Junio,6,Llamadas,Abuso sexual,8,7
2022,Enero,1,Llamadas,Abuso sexual,9,10
2022,Febrero,2,Llamadas,Abuso sexual,9,0
2022,Marzo,3,Llamadas,Abuso sexual,9,5
2022,Abril,4,Llamadas,Abuso sexual,9,5
2022,Mayo,5,Llamadas,Abuso sexual,9,4
2022,Junio,6,Llamadas,Abuso sexual,9,5
2022,Enero,1,Llamadas,Abuso sexual,10,1
2022,Febrero,2,Llamadas,Abuso sexual,10,0
2022,Marzo,3,Llamadas,Abuso sexual,10,3
2022,Abril,4,Llamadas,Abuso sexual,10,6
2022,Mayo,5,Llamadas,Abuso sexual,10,2
2022,Junio,6,Llamadas,Abuso sexual,10,6
2022,Enero,1,Llamadas,Abuso sexual,11,4
2022,Febrero,2,Llamadas,Abuso sexual,11,1
2022,Marzo,3,Llamadas,Abuso sexual,11,1
2022,Abril,4,Llamadas,Abuso sexual,11,8
2022,Mayo,5,Llamadas,Abuso sexual,11,2
2022,Junio,6,Llamadas,Abuso sexual,11,2
2022,Enero,1,Llamadas,Abuso sexual,12,1
2022,Febrero,2,Llamadas,Abuso sexual,12,1
2022,Marzo,3,Llamadas,Abuso sexual,12,7
2022,Abril,4,Llamadas,Abuso sexual,12,1
2022,Mayo,5,Llamadas,Abuso sexual,12,2
2022,Junio,6,Llamadas,Abuso sexual,12,7
2022,Enero,1,Llamadas,Abuso sexual,13,1
2022,Febrero,2,Llamadas,Abuso sexual,13,4
2022,Marzo,3,Llamadas,Abuso sexual,13,1
2022,Abril,4,Llamadas,Abuso sexual,13,1
2022,Mayo,5,Llamadas,Abuso sexual,13,6
2022,Junio,6,Llamadas,Abuso sexual,13,2
2022,Enero,1,Llamadas,Abuso sexual,14,1
2022,Febrero,2,Llamadas,Abuso sexual,14,5
2022,Marzo,3,Llamadas,Abuso sexual,14,0
2022,Abril,4,Llamadas,Abuso sexual,14,6
2022,Mayo,5,Llamadas,Abuso sexual,14,3
2022,Junio,6,Llamadas,Abuso sexual,14,1
2022,Enero,1,Llamadas,Abuso sexual,15,5
2022,Febrero,2,Llamadas,Abuso sexual,15,4
2022,Marzo,3,Llamadas,Abuso sexual,15,4
2022,Abril,4,Llamadas,Abuso sexual,15,3
2022,Mayo,5,Llamadas,Abuso sexual,15,5
2022,Junio,6,Llamadas,Abuso sexual,15,0
2022,Enero,1,Llamadas,Abuso sexual,16,3
2022,Febrero,2,Llamadas,Abuso sexual,16,0
2022,Marzo,3,Llamadas,Abuso sexual,16,5
2022,Abril,4,Llamadas,Abuso sexual,16,4
2022,Mayo,5,Llamadas,Abuso sexual,16,5
2022,Junio,6,Llamadas,Abuso sexual,16,0
2022,Enero,1,Llamadas,Abuso sexual,17,1
2022,Febrero,2,Llamadas,Abuso sexual,17,3
2022,Marzo,3,Llamadas,Abuso sexual,17,0
2022,Abril,4,Llamadas,Abuso sexual,17,11
2022,Mayo,5,Llamadas,Abuso sexual,17,4
2022,Junio,6,Llamadas,Abuso sexual,17,1
2022,Enero,1,Llamadas,Abuso sexual,18,7
2022,Febrero,2,Llamadas,Abuso sexual,18,1
2022,Marzo,3,Llamadas,Abuso sexual,18,2
2022,Abril,4,Llamadas,Abuso sexual,18,4
2022,Mayo,5,Llamadas,Abuso sexual,18,8
2022,Junio,6,Llamadas,Abuso sexual,18,0
2022,Enero,1,Llamadas,Abuso sexual,19,6
2022,Febrero,2,Llamadas,Abuso sexual,19,3
2022,Marzo,3,Llamadas,Abuso sexual,19,17
2022,Abril,4,Llamadas,Abuso sexual,19,7
2022,Mayo,5,Llamadas,Abuso sexual,19,9
2022,Junio,6,Llamadas,Abuso sexual,19,4
2022,Enero,1,Llamadas,Abuso sexual,20,2
2022,Febrero,2,Llamadas,Abuso sexual,20,3
2022,Marzo,3,Llamadas,Abuso sexual,20,12
2022,Abril,4,Llamadas,Abuso sexual,20,8
2022,Mayo,5,Llamadas,Abuso sexual,20,6
2022,Junio,6,Llamadas,Abuso sexual,20,8
2022,Enero,1,Llamadas,Abuso sexual,21,4
2022,Febrero,2,Llamadas,Abuso sexual,21,5
2022,Marzo,3,Llamadas,Abuso sexual,21,3
2022,Abril,4,Llamadas,Abuso sexual,21,3
2022,Mayo,5,Llamadas,Abuso sexual,21,7
2022,Junio,6,Llamadas,Abuso sexual,21,1
2022,Enero,1,Llamadas,Abuso sexual,22,5
2022,Febrero,2,Llamadas,Abuso sexual,22,1
2022,Marzo,3,Llamadas,Abuso sexual,22,1
2022,Abril,4,Llamadas,Abuso sexual,22,12
2022,Mayo,5,Llamadas,Abuso sexual,22,6
2022,Junio,6,Llamadas,Abuso sexual,22,2
2022,Enero,1,Llamadas,Abuso sexual,23,8
2022,Febrero,2,Llamadas,Abuso sexual,23,2
