Provincia,Año,Poblacion,TCAM
Total del país,1960,20013793,
Ciudad Autónoma de Buenos Aires,1960,2966634,
Buenos Aires,1960,6766108,
Catamarca,1960,168231,
Chaco,1960,543331,
Chubut,1960,142412,
Córdoba,1960,1753840,
Corrientes,1960,533201,
Entre Ríos,1960,805357,
Formosa,1960,178526,
Jujuy,1960,241462,
La Pampa,1960,158746,
La Rioja,1960,128220,
Mendoza,1960,824036,
Misiones,1960,361440,
Neuquén,1960,109890,
Río Negro,1960,193292,
Salta,1960,412854,
San Juan,1960,352387,
San Luis,1960,174316,
Santa Cruz,1960,52908,
Santa Fe,1960,1884918,
Santiago del Estero,1960,476503,
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1960,11209,
Tucumán,1960,773972,
Total del país,1970,23364431,15.6
Ciudad Autónoma de Buenos Aires,1970,2972453,0.2
Buenos Aires,1970,8774529,26.3
Catamarca,1970,172323,2.4
Chaco,1970,566613,4.2
Chubut,1970,189920,29.2
Córdoba,1970,2060065,16.2
Corrientes,1970,564147,5.7
Entre Ríos,1970,811691,0.8
Formosa,1970,234075,27.5
Jujuy,1970,302436,22.8
La Pampa,1970,172029,8.1
La Rioja,1970,136237,6.1
Mendoza,1970,973075,16.8
Misiones,1970,443020,20.6
Neuquén,1970,154570,34.7
Río Negro,1970,262622,31.1
Salta,1970,509803,21.3
San Juan,1970,384284,8.7
San Luis,1970,183460,5.1
Santa Cruz,1970,84457,47.9
Santa Fe,1970,2135583,12.6
Santiago del Estero,1970,495419,3.9
"Tierra del Fuego, Antártida e Islas del Atlántico Sur",1970,15658,34
Tucumán,1970,765962,-1
Total del país,1980,27947446,18
Ciudad Autónoma de Buenos Aires,1980,2922829,-1.7
Buenos Aires,1980,10865408,21.5
Catamarca,1980,207717,18.7
Chaco,1980,701392,21.4
Chubut,1980,263116,32.9
Córdoba,1980,2407754,15.6
Corrientes,1980,661454,15.9
Entre Ríos,1980,908313,11.2
Formosa,1980,295887,23.6
Jujuy,1980,410008,30.7
La Pampa,1980,208260,19.2
La Rioja,1980,164217,18.7
