Año,Departamento,Cantidad
1960,Anta,22789
1970,Anta,25844
1980,Anta,34774
1991,Anta,39213
2001,Anta,49841
2010,Anta,57411
2022,Anta,70170
1960,Cachi,4746
1970,Cachi,5030
1980,Cachi,5457
1991,Cachi,6157
2001,Cachi,7280
2010,Cachi,7315
2022,Cachi,8948
1960,Cafayate,4892
1970,Cafayate,5623
1980,Cafayate,7429
1991,Cafayate,9264
2001,Cafayate,11785
2010,Cafayate,14850
2022,Cafayate,17829
1960,Capital,123172
1970,Capital,182535
1980,Capital,265995
1991,Capital,373586
2001,Capital,472971
2010,Capital,536113
2022,Capital,627704
1960,Cerrillos,9291
1970,Cerrillos,10796
1980,Cerrillos,15951
1991,Cerrillos,20099
2001,Cerrillos,26320
2010,Cerrillos,35789
2022,Cerrillos,55949
1960,Chicoana,10131
1970,Chicoana,11402
1980,Chicoana,13540
1991,Chicoana,15003
2001,Chicoana,18248
2010,Chicoana,20710
2022,Chicoana,24729
1960,General Güemes,19922
1970,General Güemes,23058
1980,General Güemes,29097
1991,General Güemes,35573
2001,General Güemes,42255
2010,General Güemes,47226
2022,General Güemes,56166
1960,General José de San Martín,50929
1970,General José de San Martín,67203
1980,General José de San Martín,80793
1991,General José de San Martín,106688
2001,General José de San Martín,139204
2010,General José de San Martín,156910
2022,General José de San Martín,178004
1960,Guachipas,2990
1970,Guachipas,2544
1980,Guachipas,2595
1991,Guachipas,2716
2001,Guachipas,3211
2010,Guachipas,3187
2022,Guachipas,3491
1960,Iruya,3489
1970,Iruya,4344
1980,Iruya,4393
1991,Iruya,5809
2001,Iruya,6368
2010,Iruya,5987
2022,Iruya,6118
1960,La Caldera,3096
1970,La Caldera,3671
1980,La Caldera,3630
1991,La Caldera,4037
2001,La Caldera,5711
2010,La Caldera,7763
2022,La Caldera,12299
1960,La Candelaria,3326
1970,La Candelaria,3493
1980,La Candelaria,3939
1991,La Candelaria,4643
2001,La Candelaria,5286
2010,La Candelaria,5704
2022,La Candelaria,7205
1960,La Poma,1557
1970,La Poma,1297
1980,La Poma,1384
1991,La Poma,1411
2001,La Poma,1735
2010,La Poma,1738
2022,La Poma,1789
1960,La Viña,4676
1970,La Viña,6443
1980,La Viña,5706
1991,La Viña,6493
2001,La Viña,7152
2010,La Viña,7435
2022,La Viña,8900
1960,Los Andes,4267
1970,Los Andes,4251
1980,Los Andes,4062
1991,Los Andes,4981
2001,Los Andes,5630
2010,Los Andes,6050
2022,Los Andes,7182
1960,Metán,24134
1970,Metán,27013
1980,Metán,30866
1991,Metán,34284
2001,Metán,39006
2010,Metán,40351
2022,Metán,48245
1960,Molinos,4499
1970,Molinos,4662
1980,Molinos,4704
1991,Molinos,5074
2001,Molinos,5565
2010,Molinos,5652
2022,Molinos,5820
1960,Orán,60163
1970,Orán,61353
1980,Orán,76397
1991,Orán,100747
2001,Orán,124029
2010,Orán,138838
2022,Orán,160642
1960,Rivadavia,11754
1970,Rivadavia,12771
1980,Rivadavia,17655
1991,Rivadavia,20992
2001,Rivadavia,27370
2010,Rivadavia,30357
2022,Rivadavia,38113
1960,Rosario de la Frontera,16026
1970,Rosario de la Frontera,16822
1980,Rosario de la Frontera,20677
1991,Rosario de la Frontera,25842
2001,Rosario de la Frontera,28013
2010,Rosario de la Frontera,28993
2022,Rosario de la Frontera,33809
1960,Rosario de Lerma,14752
1970,Rosario de Lerma,17108
1980,Rosario de Lerma,20623
1991,Rosario de Lerma,26246
2001,Rosario de Lerma,33741
2010,Rosario de Lerma,38702
2022,Rosario de Lerma,51028
1960,San Carlos,5953
1970,San Carlos,5921
1980,San Carlos,5980
1991,San Carlos,6737
2001,San Carlos,7208
2010,San Carlos,7016
2022,San Carlos,7798
1960,Santa Victoria,6300
1970,Santa Victoria,6619
1980,Santa Victoria,7223
1991,Santa Victoria,10558
2001,Santa Victoria,11122
2010,Santa Victoria,10344
2022,Santa Victoria,9413
1960,Total provincial,412854
1970,Total provincial,509803
1980,Total provincial,662870
1991,Total provincial,866153
2001,Total provincial,1079051
2010,Total provincial,1214441
2022,Total provincial,1441351
1970,Total país,23364431
1980,Total país,27949480
1991,Total país,32615528
2001,Total país,36260140
2010,Total país,40117096
2022,Total país,46044703
1960,Total país,20013793
