ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim4,programacion_trim4,programacion_acumulada_trim4,ejecutado_vigente_trim4,ejecutado_acumulado_trim4,porc_desvio_acum_trim4,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,30000000,30000000,49000000,29000000,49000000,10332618,45782095,"-6,57",La Mejora es Temporal,La Mejora es Temporal,LA DIFERENCIA DE LO PROGRAMADO Y EJECUTADO  EN EL CUARTO TRIMESTRE ES LA ACEPTACION DE LA REPROGRAMACION ANUAL SOLICITADA  OPORTUNAMENTE POR MAYOR DEMANDA DE TRABAJOS PARLAMENTARIOS.,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,150,150,150,35,150,35,150,"0,00",-,-,-,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,160000,160000,160000,40000,160000,43519,186597,"16,62",Otras Causas,Otras Causas,Incremento de reclamos por cortes del suministro eléctrico.,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,8000,8000,8000,2000,8000,3496,12002,"50,03",Otras Causas,Otras Causas,"Reclamos sobre cortes de electricidad, infracciones de tránsito y trámmites jubilatorios.",Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Indicador,70,Asistencia a Actividades de Promoción del Derecho a la Comunicación y a la Información,1436,Asistente por Actividad (Promedio),Suma: el total es la suma de las cantidades,,,,,,,,"0,00",-,-,-,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2852,Recepción de Presentaciones Promovidas por los Ciudadanos,607,Presentación,Suma: el total es la suma de las cantidades,4000,2250,2250,850,2250,661,2709,"20,40",Otras causas,Otras causas,Es una meta variable que depende de factores externos (presentaciones que realizan las audiencias),Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2853,Capacitación en la Temática de Derecho Humano a la Comunicación y el Acceso a la Información,1307,Persona Capacitada,Suma: el total es la suma de las cantidades,4500,25000,25000,7500,25000,7203,24315,"-2,74",Otras causas,Otras causas,Las actividades de capacitación se vincularon con procesos y no actividades aisladas. Esto implicó que los participantes se repitieran en los diversos encuentros,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,2300,1200,1200,400,1200,300,1000,"-16,67",Otras causas,Otras causas,Menor participantes de los esperados,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2855,Otorgamiento de Becas de Investigación y Capacitación,1028,becario,Suma: el total es la suma de las cantidades,350,150,150,50,150,0,24,"-84,00",Otras causas,Otras causas,Se debe a un error en la estimacion de la meta,Última actualización del ejercicio 2015: 03 Julio 2016.
2015,4,1,ADMINISTRACION GUBERNAMENTAL,2,Judicial,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,340,Procuración Penitenciaria,26,Proteccion de los Derechos del Interno Penitenciario,0,Proteccion de los Derechos del Interno Penitenciario,Indicador,39,Proporción de Torturas y Malos Tratos en el Total de Casos Investigados,1187,Porcentaje,Suma: el total es la suma de las cantidades,"3,87",,,,,,,"0,00",-,-,-,Última actualización del ejercicio 2015: 03 Julio 2016.
