Jurisdiccion,Año,TGF
Argentina,1869,6.8
Argentina,1895,6.2
Argentina,1914,5.3
Argentina,1947,3.3
Argentina,1960,3.1
Argentina,1970,3.1
Argentina,1980,3.3
Argentina,1991,2.9
Argentina,2001,2.4
Argentina,2010,2.4
Buenos Aires,2010,2.5
Catamarca,2010,2.3
Buenos Aires,2001,2.3
Catamarca,2001,3.2
Buenos Aires,1991,2.6
Catamarca,1991,4
Buenos Aires,1960,2.6
Catamarca,1960,5.2
Buenos Aires,1970,2.8
Catamarca,1970,4.5
Buenos Aires,1980,3
Catamarca,1980,4.5
Ciudad Autónoma de Buenos Aires,2010,1.9
Chaco,2010,2.6
Chubut,2010,2.4
Ciudad Autónoma de Buenos Aires,2001,1.8
Chaco,2001,2.9
Chubut,2001,2.5
Ciudad Autónoma de Buenos Aires,1991,1.8
Chaco,1991,4.4
Chubut,1991,3.2
Ciudad Autónoma de Buenos Aires,1960,1.7
Chaco,1960,5.3
Chubut,1980,4
Ciudad Autónoma de Buenos Aires,1970,2.1
Chaco,1970,4.5
Chubut,1970,4.1
Ciudad Autónoma de Buenos Aires,1980,2.2
Chaco,1980,4.7
Chubut,1960,4.7
Cordoba,2010,2.2
Corrientes,2010,2.5
Entre Rios,2010,2.3
Cordoba,2001,2.1
Corrientes,2001,2.9
Entre Rios,2001,2.7
Cordoba,1991,2.8
Corrientes,1991,3.6
Entre Rios,1991,3.3
Cordoba,1980,3.2
Corrientes,1960,4.9
Entre Rios,1960,3.9
Cordoba,1970,2.7
Corrientes,1970,4.5
Entre Rios,1970,3.4
Cordoba,1960,3
Corrientes,1980,4.4
Entre Rios,1980,3.6
Formosa,2010,2.7
Jujuy,2010,2.4
La Pampa,2010,2.3
Formosa,2001,3.2
Jujuy,2001,3
La Pampa,2001,2.4
Formosa,1991,4.8
Jujuy,1991,3.3
La Pampa,1991,3.2
Formosa,1960,5.7
Jujuy,1960,5.7
La Pampa,1960,3.4
Formosa,1970,5.3
Jujuy,1970,5.8
La Pampa,1970,3.1
Formosa,1980,5
Jujuy,1980,5.1
La Pampa,1980,3.4
La Rioja,2010,2.2
Mendoza,2010,2.5
Misiones,2010,2.8
La Rioja,2001,2.6
Mendoza,2001,2.6
Misiones,2001,3.4
La Rioja,1991,4
Mendoza,1991,3.1
Misiones,1991,3.9
La Rioja,1960,4.9
Mendoza,1960,3.3
Misiones,1960,5.8
La Rioja,1970,4.2
Mendoza,1970,3.2
Misiones,1970,4.9
La Rioja,1980,4.6
Mendoza,1980,3.4
Misiones,1980,5
Neuquen,2010,2.5
Rio Negro,2010,2.3
Salta,2010,2.8
Neuquen,2001,2.5
Rio Negro,2001,2.6
Salta,2001,3.2
Neuquen,1991,3.6
Rio Negro,1991,3.1
Salta,1991,3.9
Neuquen,1960,5.6
Rio Negro,1960,4.7
Salta,1960,5.2
Neuquen,1970,5.2
Rio Negro,1970,4.3
Salta,1970,4.7
Neuquen,1980,4.3
Rio Negro,1980,3.9
Salta,1980,4.8
San Juan,2010,2.7
San Luis,2010,2.3
Santa Cruz,2010,2.7
San Juan,2001,2.9
San Luis,2001,3
Santa Cruz,2001,2.8
San Juan,1991,3.5
San Luis,1991,3.6
Santa Cruz,1991,3.5
San Juan,1960,4
San Luis,1960,4.1
Santa Cruz,1960,4.1
San Juan,1970,3.7
San Luis,1970,3.2
Santa Cruz,1970,3.8
San Juan,1980,3.8
San Luis,1980,3.7
Santa Cruz,1980,3.7
Santa Fe,2010,2.1
Santiago del Estero,2010,2.5
Tierra Del Fuego,2010,2.3
Santa Fe,2001,2.2
Santiago del Estero,2001,2.6
Tierra Del Fuego,2001,2.8
Santa Fe,1991,3
Santiago del Estero,1991,3.9
Tierra Del Fuego,1991,4
Santa Fe,1960,2.7
Santiago del Estero,1960,5.5
Tierra Del Fuego,1960,4.1
Santa Fe,1970,2.6
Santiago del Estero,1970,4
Tierra Del Fuego,1970,3.8
Santa Fe,1980,3
Santiago del Estero,1980,4.4
Tierra Del Fuego,1980,3.7
Tucuman,2010,2.5
Tucuman,2001,2.6
Tucuman,1991,3.2
Tucuman,1960,4.4
Tucuman,1970,4.1
Tucuman,1980,4.2
