medicion_fisica_desc,ejercicio_presupuestario,SUM de programacion_acumulada_trim1,SUM de ejecutado_acumulado_trim1,SUM de porc_desvio_acum_trim1
Asistencia en Salud Sexual y Reproductiva,2014,18000000,14.760.199,-18
Asistencia en Salud Sexual y Reproductiva,2015,16500000,10.786.036,-35
Asistencia en Salud Sexual y Reproductiva,2016,16000000,4.334.671,-73
Asistencia en Salud Sexual y Reproductiva,2017,11000000,7.756.382,-29
Asistencia en Salud Sexual y Reproductiva,2018,10500000,8.452.276,-20
Asistencia en Salud Sexual y Reproductiva,2019,10700000,7.025.021,-34
Asistencia en Salud Sexual y Reproductiva,2020,10700000,8.229.300,0
Asistencia en Salud Sexual y Reproductiva,2021,10700000,8.350.403,-22
Asistencia en Salud Sexual y Reproductiva,2022,10800000,8.668.702,-20
Asistencia en Salud Sexual y Reproductiva,2023,9555000,8.327.792,-13
Asistencia en Salud Sexual y Reproductiva,2024,9877500,2.435.492,-75
