"","ANO4","TRIMESTRE","REGION","AGLOMERADO","PONDERA","CH04","P21","PP04B_COD","CH06","ESTADO","CAT_OCUP","CAT_INAC","INTENSI","PP03J","PP04D_COD"
"1",2024,1,42,10,439,2,-9,"4000",44,1,3,0,2,2,"10333"
"2",2024,1,42,10,439,2,0,"",22,3,0,4,NA,NA,""
"3",2024,1,42,10,439,2,0,"",3,4,0,5,NA,NA,""
"4",2024,1,42,10,675,1,250000,"2500",54,1,3,0,2,2,"80313"
"5",2024,1,42,10,675,2,2e+05,"4804",53,1,3,0,2,2,"30314"
"6",2024,1,42,10,675,2,2e+05,"5601",26,1,3,0,2,2,"53313"
"7",2024,1,42,10,675,1,2e+05,"3100",25,1,3,0,3,2,"80332"
"8",2024,1,41,7,403,2,0,"",72,3,0,1,NA,NA,""
"9",2024,1,41,7,403,1,-9,"1003",53,1,3,0,3,2,"80333"
"10",2024,1,41,7,403,1,-9,"8401",41,1,3,0,4,2,"10333"
"11",2024,1,41,7,345,1,2e+05,"1009",43,1,3,0,3,2,"30323"
"12",2024,1,41,7,345,2,0,"",17,3,0,3,NA,NA,""
"13",2024,1,41,7,291,2,-9,"1009",52,1,2,0,2,2,"53113"
"14",2024,1,41,7,291,2,0,"",24,3,0,4,NA,NA,""
"15",2024,1,41,7,291,1,-9,"8000",19,1,3,0,3,2,"47314"
"16",2024,1,41,7,291,2,0,"",16,3,0,3,NA,NA,""
"17",2024,1,41,7,291,2,0,"",5,4,0,5,NA,NA,""
"18",2024,1,41,7,275,1,0,"",76,3,0,1,NA,NA,""
"19",2024,1,41,7,251,2,5e+05,"8600",31,1,3,0,2,2,"40312"
"20",2024,1,41,7,398,2,0,"",23,3,0,3,NA,NA,""
"21",2024,1,40,18,371,1,350000,"4903",62,1,3,0,2,2,"34323"
"22",2024,1,40,18,371,2,0,"",64,3,0,1,NA,NA,""
"23",2024,1,40,18,371,1,1e+05,"4805",35,1,3,0,2,2,"34323"
"24",2024,1,40,18,371,1,0,"",28,3,0,7,NA,NA,""
"25",2024,1,40,18,716,2,180000,"8401",58,1,3,0,2,2,"10333"
"26",2024,1,40,18,716,1,0,"",23,3,0,3,NA,NA,""
"27",2024,1,40,18,308,1,0,"",78,3,0,1,NA,NA,""
"28",2024,1,40,18,308,2,0,"",72,3,0,4,NA,NA,""
"29",2024,1,40,18,308,1,140000,"8501",43,1,3,0,4,2,"41332"
"30",2024,1,40,18,681,1,260000,"4807",39,1,3,0,3,2,"30333"
"31",2024,1,40,25,196,2,250000,"5601",29,1,3,0,2,2,"53314"
"32",2024,1,40,25,196,1,0,"",1,4,0,5,NA,NA,""
"33",2024,1,40,25,196,2,0,"",11,3,0,3,NA,NA,""
"34",2024,1,41,7,321,2,280000,"101",49,1,3,0,2,2,"30333"
"35",2024,1,41,8,334,2,0,"",65,3,0,7,NA,NA,""
"36",2024,1,41,8,334,2,1e+05,"9700",20,1,3,0,2,2,"55314"
"37",2024,1,41,8,289,2,0,"",73,3,0,1,NA,NA,""
"38",2024,1,41,8,289,2,170000,"8501",31,1,3,0,2,2,"41312"
"39",2024,1,43,5,387,2,-9,"6500",57,1,3,0,2,2,"10333"
"40",2024,1,43,5,387,1,-9,"1009",35,1,3,0,3,2,"20333"
"41",2024,1,40,19,474,2,30000,"9301",24,1,3,0,2,2,"51312"
"42",2024,1,40,19,474,2,0,"",21,3,0,2,NA,NA,""
"43",2024,1,40,19,474,2,0,"",17,3,0,3,NA,NA,""
"44",2024,1,40,19,474,2,0,"",17,3,0,3,NA,NA,""
"45",2024,1,40,19,474,1,4e+05,"4808",44,1,3,0,3,2,"80323"
"46",2024,1,40,19,186,1,0,"",62,3,0,1,NA,NA,""
"47",2024,1,40,19,186,2,0,"",48,3,0,1,NA,NA,""
"48",2024,1,40,19,186,2,0,"",8,4,0,3,NA,NA,""
"49",2024,1,40,19,263,1,280000,"9999",52,1,3,0,3,2,"72203"
"50",2024,1,40,19,263,2,80000,"4803",49,1,2,0,3,2,"30113"
"51",2024,1,40,19,263,1,180000,"9999",24,1,3,0,3,2,"36314"
"52",2024,1,40,19,263,1,0,"",18,3,0,3,NA,NA,""
"53",2024,1,40,19,263,1,0,"",9,4,0,3,NA,NA,""
"54",2024,1,40,19,202,1,4e+05,"8501",52,1,3,0,1,2,"41332"
"55",2024,1,40,19,202,2,7e+05,"8501",51,1,3,0,2,2,"41332"
"56",2024,1,40,19,202,2,0,"",24,3,0,3,NA,NA,""
"57",2024,1,40,19,202,2,0,"",22,3,0,3,NA,NA,""
"58",2024,1,40,19,202,1,0,"",19,3,0,3,NA,NA,""
"59",2024,1,40,19,202,1,0,"",11,3,0,3,NA,NA,""
"60",2024,1,40,19,159,1,4e+05,"4903",50,1,3,0,3,2,"34323"
"61",2024,1,40,19,159,2,2e+05,"4803",49,1,1,0,3,2,"5002"
"62",2024,1,40,19,159,2,0,"",23,2,2,0,NA,NA,""
"63",2024,1,40,19,159,2,0,"",18,3,0,3,NA,NA,""
"64",2024,1,40,19,229,2,78000,"8800",41,1,3,0,2,1,"80323"
"65",2024,1,40,19,229,1,0,"",14,3,0,3,NA,NA,""
"66",2024,1,40,19,229,1,0,"",12,3,0,3,NA,NA,""
"67",2024,1,40,19,229,2,0,"",13,3,0,3,NA,NA,""
"68",2024,1,43,30,159,1,2e+05,"4000",46,1,2,0,2,2,"72113"
"69",2024,1,43,30,159,2,6e+05,"8600",48,1,3,0,2,2,"20333"
"70",2024,1,41,7,321,1,-9,"8200",29,1,3,0,1,2,"34323"
"71",2024,1,41,7,263,2,0,"",52,3,0,4,NA,NA,""
"72",2024,1,41,7,263,2,-9,"9602",19,1,2,0,2,1,"57113"
"73",2024,1,41,7,263,2,-9,"9602",18,1,2,0,1,1,"57113"
"74",2024,1,41,7,263,2,0,"",15,3,0,3,NA,NA,""
"75",2024,1,42,10,733,2,4e+05,"7200",41,1,3,0,2,2,"20333"
"76",2024,1,42,10,733,1,5e+05,"8401",45,1,3,0,3,2,"72201"
"77",2024,1,42,10,733,2,0,"",4,4,0,5,NA,NA,""
"78",2024,1,42,10,733,2,0,"",4,4,0,5,NA,NA,""
"79",2024,1,41,15,193,2,1e+05,"4804",40,1,2,0,2,2,"31123"
"80",2024,1,41,15,193,2,0,"",16,3,0,3,NA,NA,""
"81",2024,1,41,15,193,2,0,"",-1,4,0,5,NA,NA,""
"82",2024,1,42,27,542,2,3e+05,"4000",24,1,3,0,2,2,"10333"
"83",2024,1,42,27,542,2,340000,"6500",52,1,3,0,2,2,"10333"
"84",2024,1,42,27,419,1,180000,"4000",29,1,3,0,3,2,"72313"
"85",2024,1,42,27,419,2,0,"",26,3,0,4,NA,NA,""
"86",2024,1,42,27,419,2,0,"",9,4,0,3,NA,NA,""
"87",2024,1,42,27,419,2,0,"",7,4,0,3,NA,NA,""
"88",2024,1,42,27,419,1,0,"",2,4,0,5,NA,NA,""
"89",2024,1,42,26,342,2,0,"",32,3,0,4,NA,NA,""
"90",2024,1,42,26,342,1,372000,"8401",59,1,3,0,2,2,"72313"
"91",2024,1,42,26,342,1,0,"",14,3,0,3,NA,NA,""
"92",2024,1,42,26,342,2,0,"",9,4,0,3,NA,NA,""
"93",2024,1,42,26,342,2,0,"",5,4,0,5,NA,NA,""
"94",2024,1,42,26,342,1,0,"",1,4,0,5,NA,NA,""
"95",2024,1,40,25,163,1,3e+05,"8401",47,1,3,0,3,2,"48313"
"96",2024,1,40,25,163,2,2e+05,"9602",42,1,3,0,2,2,"57313"
"97",2024,1,40,25,163,2,3e+05,"5601",23,1,3,0,3,2,"30333"
"98",2024,1,40,25,163,2,0,"",4,4,0,5,NA,NA,""
"99",2024,1,40,25,163,1,0,"",2,4,0,5,NA,NA,""
"100",2024,1,40,18,208,1,250000,"8401",36,1,3,0,3,2,"48313"
"101",2024,1,40,18,208,2,0,"",40,3,0,1,NA,NA,""
"102",2024,1,40,18,208,2,0,"",18,3,0,3,NA,NA,""
"103",2024,1,40,18,208,2,0,"",16,3,0,3,NA,NA,""
"104",2024,1,40,18,208,1,0,"",9,4,0,3,NA,NA,""
"105",2024,1,40,18,208,1,0,"",6,4,0,3,NA,NA,""
