medicion_fisica_desc,ejercicio_presupuestario,SUM de programacion_acumulada_trim1,SUM de ejecutado_acumulado_trim1,SUM de porc_desvio_acum_trim1
Distribución de Preservativos,2014,32000000,10.465.056,-67
Distribución de Preservativos,2015,75000000,51.982.431,-62
Distribución de Preservativos,2016,93698618,18.424.176,-165
Distribución de Preservativos,2017,113000960,42.688.708,-100
Distribución de Preservativos,2018,79500000,55.462.136,-55
Distribución de Preservativos,2019,85780000,31.971.312,-123
Distribución de Preservativos,2020,85780000,30.788.100,0
Distribución de Preservativos,2021,60300000,38.773.440,-65
Distribución de Preservativos,2022,69076000,31.761.504,-96
Distribución de Preservativos,2023,55302400,22.769.568,-114
Distribución de Preservativos,2024,52310940,4.862.880,-181
Distribución de Preservativos,2025,0,0,0
