Año,Categoria,Ejecutado,Vigente
2014,Asistencia en Salud Sexual y Reproductiva,14760199,18000000
2015,Asistencia en Salud Sexual y Reproductiva,10786036,16500000
2016,Asistencia en Salud Sexual y Reproductiva,4334671,16000000
2017,Asistencia en Salud Sexual y Reproductiva,7756382,11000000
2018,Asistencia en Salud Sexual y Reproductiva,8452276,10500000
2019,Asistencia en Salud Sexual y Reproductiva,7025021,10700000
2020,Asistencia en Salud Sexual y Reproductiva,8229300,10700000
2021,Asistencia en Salud Sexual y Reproductiva,8350403,10700000
2022,Asistencia en Salud Sexual y Reproductiva,8668702,10800000
2023,Asistencia en Salud Sexual y Reproductiva,8327792,9555000
2024,Asistencia en Salud Sexual y Reproductiva,2435492,9877500
2022,Distribución de Medicamentos para la Interrupción Voluntaria del Embarazo (Ley N° 27.610),89863,100000
2023,Distribución de Medicamentos para la Interrupción Voluntaria del Embarazo (Ley N° 27.610),170902,100000
2024,Distribución de Medicamentos para la Interrupción Voluntaria del Embarazo (Ley N° 27.610),0,100400
2022,Distribución de Métodos Anticonceptivos de Larga Duración para Adolescentes (Plan Enia),57425,65000
2023,Distribución de Métodos Anticonceptivos de Larga Duración para Adolescentes (Plan Enia),79690,59800
2024,Distribución de Métodos Anticonceptivos de Larga Duración para Adolescentes (Plan Enia),28320,65740
2014,Distribución de Preservativos,45798664,94000000
2015,Distribución de Preservativos,51982431,75000000
2016,Distribución de Preservativos,18424176,93698618
2017,Distribución de Preservativos,42688708,113000960
2018,Distribución de Preservativos,55462136,79500000
2019,Distribución de Preservativos,31971312,85780000
2020,Distribución de Preservativos,30788100,85780000
2021,Distribución de Preservativos,38773440,60300000
2022,Distribución de Preservativos,31761504,69076000
2023,Distribución de Preservativos,22769568,55302400
2024,Distribución de Preservativos,3845808,53057070
