ejercicio_presupuestario,trimestre,finalidad_id,finalidad_desc,funcion_id,funcion_desc,jurisdiccion_id,jurisdiccion_desc,subjurisdiccion_id,subjurisdiccion_desc,servicio_id,servicio_desc,programa_id,programa_desc,subprograma_id,subprograma_desc,tipo_medicion_fisica,medicion_fisica_id,medicion_fisica_desc,unidad_medida_id,unidad_medida_desc,totalizador_avance_fisico,programacion_inicial_DA,programacion_inicial_ajustada,programacion_anual_vig_trim4,programacion_trim4,programacion_acumulada_trim4,ejecutado_vigente_trim4,ejecutado_acumulado_trim4,porc_desvio_acum_trim4,causa_desvio,causa_desvio_detalle,causa_desvio_comentario,ultima_actualizacion_fecha
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,315,Imprenta del Congreso,19,Impresiones y Publicaciones Parlamentarias,0,Impresiones y Publicaciones Parlamentarias,Meta,139,Composición e Impresión de Papelería y Publicaciones Parlamentarias,70,Página,Suma: el total es la suma de las cantidades,35000000,35000000,35000000,11500000,35000000,6390334,16777031,"-52,07",Atraso Corregible,Atraso Corregible,TRABAJOS EN PROCESO DE COMPOSICION.-,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,100,Investigaciones,146,Investigación Realizada,Suma: el total es la suma de las cantidades,150,150,150,35,150,35,136,"-9,33",Otras Causas,Otras Causas,No se abrieron nuevas investigaciones debido a la prosecución de las anteriores.,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,722,Atención al Público,251,Persona Atendida,Suma: el total es la suma de las cantidades,160000,160000,160000,40000,160000,42295,167525,"4,70",Otras Causas,Otras Causas,Incremento de consultas debido a cortes en el suministro del servicio eléctrico.,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1268,Actuaciones de Oficio,30,Caso,Suma: el total es la suma de las cantidades,50,50,50,15,50,15,15,"-70,00",Otras Causas,Otras Causas,Al no tener autoridad designada por el Congreso Nacional no se realizaron actuaciones de oficio.,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,319,Defensoría del Pueblo,21,Defensa de los Derechos de los Ciudadanos,0,Defensa de los Derechos de los Ciudadanos,Meta,1269,Recepción de  Quejas Promovidas por los Ciudadanos,30,Caso,Suma: el total es la suma de las cantidades,8000,8000,8000,2000,8000,3008,11061,"38,26",Otras Causas,Otras Causas,Incremento por ajustes en los haberes jubilatorios y por prestaciones de PAMI.,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Indicador,70,Asistencia a Actividades de Promoción del Derecho a la Comunicación y a la Información,1436,Asistente por Actividad (Promedio),Suma: el total es la suma de las cantidades,,,,,,,,"0,00",-,-,-,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2852,Recepción de Presentaciones Promovidas por los Ciudadanos,607,Presentación,Suma: el total es la suma de las cantidades,3000,3000,3000,945,3000,573,1869,"-37,70",Otras causas,Otras causas,Hubo un corrimiento de la demanda hacia actividades de capacitación,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2853,Capacitación en la Temática de Derecho Humano a la Comunicación y el Acceso a la Información,1307,Persona Capacitada,Suma: el total es la suma de las cantidades,3000,3000,3000,900,3000,5874,19310,"543,67",Otras causas,Otras causas,Incremento de la Demanda de actividades de capacitación,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2854,Participación en Audiencias Públicas,583,Participante,Suma: el total es la suma de las cantidades,1500,1500,1500,400,1500,700,1740,"16,00",Otras causas,Otras causas,La participación de las audiencias fue superior a la estimada,Última actualización del ejercicio 2014: 05 Julio 2015.
2014,4,1,ADMINISTRACION GUBERNAMENTAL,1,Legislativa,1,Poder Legislativo Nacional,0,Poder Legislativo Nacional,346,Defensoría del Público de Servicios de Comunicación Audiovisual,36,Defensa del Publico de Servicios de Comunicacion Audiovisual,0,Defensa del Publico de Servicios de Comunicacion Audiovisual,Meta,2855,Otorgamiento de Becas de Investigación y Capacitación,1028,becario,Suma: el total es la suma de las cantidades,200,200,200,56,200,0,98,"-51,00",Otras causas,Otras causas,Demoras administrativas en el trabajo conjunto con el CONICET para el otorgamiento de becas.,Última actualización del ejercicio 2014: 05 Julio 2015.
