Año,Departamento,Poblacion
2022,Anta,71492
2022,Cachi,9114
2022,Cafayate,18151
2022,Capital,638654
2022,Cerrillos,56971
2022,Chicoana,25178
2022,General Güemes,57194
2022,General José de San Martín,181256
2022,Guachipas,3555
2022,Iruya,6228
2022,La Caldera,12528
2022,La Candelaria,7340
2022,La Poma,1821
2022,La Viña,9063
2022,Los Andes,7314
2022,Metán,49132
2022,Molinos,5926
2022,Orán,163607
2022,Rivadavia,38799
2022,Rosario de la Frontera,34425
2022,Rosario de Lerma,51961
2022,San Carlos,7943
2022,Santa Victoria,9585
2023,Anta,71882
2023,Cachi,9163
2023,Cafayate,18241
2023,Capital,641274
2023,Cerrillos,57656
2023,Chicoana,25297
2023,General Güemes,57457
2023,General José de San Martín,181818
2023,Guachipas,3562
2023,Iruya,6224
2023,La Caldera,12683
2023,La Candelaria,7386
2023,La Poma,1820
2023,La Viña,9106
2023,Los Andes,7347
2023,Metán,49362
2023,Molinos,5925
2023,Orán,164218
2023,Rivadavia,39038
2023,Rosario de la Frontera,34559
2023,Rosario de Lerma,52355
2023,San Carlos,7961
2023,Santa Victoria,9537
2024,Anta,72261
2024,Cachi,9210
2024,Cafayate,18328
2024,Capital,643822
2024,Cerrillos,58322
2024,Chicoana,25412
2024,General Güemes,57712
2024,General José de San Martín,182366
2024,Guachipas,3569
2024,Iruya,6220
2024,La Caldera,12833
2024,La Candelaria,7432
2024,La Poma,1819
2024,La Viña,9147
2024,Los Andes,7378
2024,Metán,49586
2024,Molinos,5924
2024,Orán,164814
2024,Rivadavia,39271
2024,Rosario de la Frontera,34691
2024,Rosario de Lerma,52740
2024,San Carlos,7980
2024,Santa Victoria,9490
2025,Anta,72624
2025,Cachi,9256
2025,Cafayate,18412
2025,Capital,646265
2025,Cerrillos,58961
2025,Chicoana,25523
2025,General Güemes,57958
2025,General José de San Martín,182891
2025,Guachipas,3574
2025,Iruya,6216
2025,La Caldera,12978
2025,La Candelaria,7476
2025,La Poma,1819
2025,La Viña,9187
2025,Los Andes,7408
2025,Metán,49801
2025,Molinos,5922
2025,Orán,165384
2025,Rivadavia,39494
2025,Rosario de la Frontera,34817
2025,Rosario de Lerma,53109
2025,San Carlos,7997
2025,Santa Victoria,9445
2026,Anta,72962
2026,Cachi,9298
2026,Cafayate,18490
2026,Capital,648534
2026,Cerrillos,59555
2026,Chicoana,25625
2026,General Güemes,58185
2026,General José de San Martín,183379
2026,Guachipas,3580
2026,Iruya,6213
2026,La Caldera,13112
2026,La Candelaria,7516
2026,La Poma,1818
2026,La Viña,9224
2026,Los Andes,7437
2026,Metán,50001
2026,Molinos,5921
2026,Orán,165914
2026,Rivadavia,39701
2026,Rosario de la Frontera,34934
2026,Rosario de Lerma,53451
2026,San Carlos,8013
2026,Santa Victoria,9404
2027,Anta,73277
2027,Cachi,9337
2027,Cafayate,18562
2027,Capital,650651
2027,Cerrillos,60108
2027,Chicoana,25721
2027,General Güemes,58397
2027,General José de San Martín,183834
2027,Guachipas,3586
2027,Iruya,6210
2027,La Caldera,13237
2027,La Candelaria,7553
2027,La Poma,1818
2027,La Viña,9258
2027,Los Andes,7463
2027,Metán,50189
2027,Molinos,5920
2027,Orán,166407
2027,Rivadavia,39895
2027,Rosario de la Frontera,35043
2027,Rosario de Lerma,53771
2027,San Carlos,8027
2027,Santa Victoria,9365
2028,Anta,73586
2028,Cachi,9376
2028,Cafayate,18633
2028,Capital,652730
2028,Cerrillos,60652
2028,Chicoana,25815
2028,General Güemes,58604
2028,General José de San Martín,184281
2028,Guachipas,3591
2028,Iruya,6207
2028,La Caldera,13359
2028,La Candelaria,7591
2028,La Poma,1818
2028,La Viña,9292
2028,Los Andes,7489
2028,Metán,50371
2028,Molinos,5919
2028,Orán,166892
2028,Rivadavia,40084
2028,Rosario de la Frontera,35149
2028,Rosario de Lerma,54084
2028,San Carlos,8042
2028,Santa Victoria,9327
2029,Anta,73897
2029,Cachi,9416
2029,Cafayate,18704
2029,Capital,654828
2029,Cerrillos,61201
2029,Chicoana,25910
2029,General Güemes,58815
2029,General José de San Martín,184731
2029,Guachipas,3596
2029,Iruya,6204
2029,La Caldera,13483
2029,La Candelaria,7628
2029,La Poma,1817
2029,La Viña,9327
2029,Los Andes,7515
2029,Metán,50555
2029,Molinos,5917
2029,Orán,167382
2029,Rivadavia,40276
2029,Rosario de la Frontera,35258
2029,Rosario de Lerma,54401
2029,San Carlos,8056
2029,Santa Victoria,9288
2030,Anta,74208
2030,Cachi,9454
2030,Cafayate,18776
2030,Capital,656920
2030,Cerrillos,61748
2030,Chicoana,26005
2030,General Güemes,59024
2030,General José de San Martín,185179
2030,Guachipas,3601
2030,Iruya,6201
2030,La Caldera,13607
2030,La Candelaria,7666
2030,La Poma,1816
2030,La Viña,9361
2030,Los Andes,7541
2030,Metán,50740
2030,Molinos,5916
2030,Orán,167870
2030,Rivadavia,40466
2030,Rosario de la Frontera,35366
2030,Rosario de Lerma,54715
2030,San Carlos,8072
2030,Santa Victoria,9250
