Provincia,Año,Poblacion_total,Poblacion_varones,Poblacion_mujeres
CABA,2022,3121189,1440835,1680354
CABA,2023,3107894,1435561,1672333
CABA,2024,3093735,1430379,1663356
CABA,2025,3079674,1425366,1654308
CABA,2026,3065991,1420473,1645518
CABA,2027,3052432,1415557,1636875
CABA,2028,3038998,1410700,1628298
CABA,2029,3025765,1405935,1619830
CABA,2030,3012826,1401314,1611512
Buenos Aires,2022,17409376,8582767,8826609
Buenos Aires,2023,17418577,8589613,8828964
Buenos Aires,2024,17431446,8599059,8832387
Buenos Aires,2025,17443372,8608571,8834801
Buenos Aires,2026,17453039,8616968,8836071
Buenos Aires,2027,17460685,8624351,8836334
Buenos Aires,2028,17466959,8631057,8835902
Buenos Aires,2029,17472843,8637587,8835256
Buenos Aires,2030,17479673,8644624,8835049
Catamarca,2022,434741,217567,217174
Catamarca,2023,436077,218247,217830
Catamarca,2024,437508,218976,218532
Catamarca,2025,439024,219690,219334
Catamarca,2026,440503,220395,220108
Catamarca,2027,441923,221060,220863
Catamarca,2028,443302,221712,221590
Catamarca,2029,444639,222345,222294
Catamarca,2030,445966,222975,222991
Córdoba,2022,3923244,1927835,1995409
Córdoba,2023,3934514,1933754,2000760
Córdoba,2024,3946289,1939869,2006420
Córdoba,2025,3957565,1945841,2011724
Córdoba,2026,3968336,1951590,2016746
Córdoba,2027,3978566,1957096,2021470
Córdoba,2028,3988364,1962401,2025963
Córdoba,2029,3997839,1967561,2030278
Córdoba,2030,4007292,1972727,2034565
Corrientes,2022,1189015,590580,598435
Corrientes,2023,1193970,592914,601056
Corrientes,2024,1199120,595414,603706
Corrientes,2025,1203905,597788,606117
Corrientes,2026,1208334,600001,608333
Corrientes,2027,1212387,602036,610351
Corrientes,2028,1216312,604012,612300
Corrientes,2029,1220239,606000,614239
Corrientes,2030,1224094,607959,616135
Chaco,2022,1190747,588458,602289
Chaco,2023,1194631,590251,604380
Chaco,2024,1200849,593230,607619
Chaco,2025,1207608,596538,611070
Chaco,2026,1214280,599814,614466
Chaco,2027,1220810,603027,617783
Chaco,2028,1227236,606189,621047
Chaco,2029,1233474,609272,624202
Chaco,2030,1239460,612230,627230
Chubut,2022,597366,299367,297999
Chubut,2023,598946,300029,298917
Chubut,2024,600674,300759,299915
Chubut,2025,602348,301411,300937
Chubut,2026,603930,302014,301916
Chubut,2027,605453,302589,302864
Chubut,2028,606918,303146,303772
Chubut,2029,608334,303678,304656
Chubut,2030,609723,304198,305525
Entre Ríos,2022,1449787,714361,735426
Entre Ríos,2023,1452721,715827,736894
Entre Ríos,2024,1456015,717444,738571
Entre Ríos,2025,1459182,719010,740172
Entre Ríos,2026,1462153,720488,741665
Entre Ríos,2027,1464903,721881,743022
Entre Ríos,2028,1467496,723207,744289
Entre Ríos,2029,1469959,724479,745480
Entre Ríos,2030,1472359,725730,746629
Formosa,2022,620502,302671,317831
Formosa,2023,622428,303344,319084
Formosa,2024,624461,304306,320155
Formosa,2025,626649,305405,321244
Formosa,2026,628876,306530,322346
Formosa,2027,631105,307649,323456
Formosa,2028,633312,308770,324542
Formosa,2029,635477,309875,325602
Formosa,2030,637566,310944,326622
Jujuy,2022,795372,393524,401848
Jujuy,2023,796866,394194,402672
Jujuy,2024,798673,395035,403638
Jujuy,2025,800744,395998,404746
Jujuy,2026,802922,397034,405888
Jujuy,2027,805114,398086,407028
Jujuy,2028,807293,399134,408159
Jujuy,2029,809457,400184,409273
Jujuy,2030,811608,401234,410374
La Pampa,2022,373976,186034,187942
La Pampa,2023,374945,186522,188423
La Pampa,2024,375873,186958,188915
La Pampa,2025,376794,187389,189405
La Pampa,2026,377663,187789,189874
La Pampa,2027,378481,188183,190298
La Pampa,2028,379260,188543,190717
La Pampa,2029,379981,188886,191095
La Pampa,2030,380681,189220,191461
La Rioja,2022,398518,198616,199902
La Rioja,2023,400097,199339,200758
La Rioja,2024,401843,200146,201697
La Rioja,2025,403577,200945,202632
La Rioja,2026,405241,201717,203524
La Rioja,2027,406823,202443,204380
La Rioja,2028,408351,203156,205195
La Rioja,2029,409825,203831,205994
La Rioja,2030,411256,204499,206757
Mendoza,2022,2032783,998648,1034135
Mendoza,2023,2037228,1000992,1036236
Mendoza,2024,2042241,1003671,1038570
Mendoza,2025,2047181,1006308,1040873
Mendoza,2026,2051912,1008867,1043045
Mendoza,2027,2056323,1011304,1045019
Mendoza,2028,2060449,1013600,1046849
Mendoza,2029,2064401,1015817,1048584
Mendoza,2030,2068328,1018038,1050290
Misiones,2022,1313583,652221,661362
Misiones,2023,1322993,656562,666431
Misiones,2024,1333633,661710,671923
Misiones,2025,1344368,667052,677316
Misiones,2026,1355029,672364,682665
Misiones,2027,1365537,677597,687940
Misiones,2028,1375915,682778,693137
Misiones,2029,1386047,687833,698214
Misiones,2030,1395890,692748,703142
Neuquén,2022,689222,341384,347838
Neuquén,2023,693935,343616,350319
Neuquén,2024,698410,345671,352739
Neuquén,2025,702816,347713,355103
Neuquén,2026,707092,349691,357401
Neuquén,2027,711217,351588,359629
Neuquén,2028,715222,353428,361794
Neuquén,2029,719121,355228,363893
Neuquén,2030,722955,356995,365960
Río Negro,2022,776389,384568,391821
Río Negro,2023,780516,386495,394021
Río Negro,2024,784591,388421,396170
Río Negro,2025,788658,390368,398290
Río Negro,2026,792587,392242,400345
Río Negro,2027,796378,394055,402323
Río Negro,2028,800042,395806,404236
Río Negro,2029,803596,397511,406085
Río Negro,2030,807072,399177,407895
Salta,2022,1467237,728181,739056
Salta,2023,1473871,731514,742357
Salta,2024,1480327,734751,745576
Salta,2025,1486517,737824,748693
Salta,2026,1492267,740683,751584
Salta,2027,1497629,743364,754265
Salta,2028,1502892,746008,756884
Salta,2029,1508205,748679,759526
Salta,2030,1513502,751361,762141
San Juan,2022,837233,413896,423337
San Juan,2023,841155,415874,425281
San Juan,2024,845201,418003,427198
San Juan,2025,849117,420036,429081
San Juan,2026,852747,421929,430818
San Juan,2027,856101,423699,432402
San Juan,2028,859378,425434,433944
San Juan,2029,862666,427179,435487
San Juan,2030,865955,428936,437019
San Luis,2022,527530,262325,265205
San Luis,2023,530792,263949,266843
San Luis,2024,533465,265245,268220
San Luis,2025,536173,266544,269629
San Luis,2026,538852,267827,271025
San Luis,2027,541490,269092,272398
San Luis,2028,544082,270335,273747
San Luis,2029,546646,271568,275078
San Luis,2030,549169,272781,276388
Santa Cruz,2022,334397,170958,163439
Santa Cruz,2023,334541,170801,163740
Santa Cruz,2024,334752,170868,163884
Santa Cruz,2025,334953,170910,164043
Santa Cruz,2026,335096,170912,164184
Santa Cruz,2027,335186,170887,164299
Santa Cruz,2028,335260,170853,164407
Santa Cruz,2029,335302,170802,164500
Santa Cruz,2030,335317,170739,164578
Santa Fe,2022,3670163,1794700,1875463
Santa Fe,2023,3674361,1797220,1877141
Santa Fe,2024,3679597,1800396,1879201
Santa Fe,2025,3684529,1803521,1881008
Santa Fe,2026,3688683,1806264,1882419
Santa Fe,2027,3692001,1808607,1883394
Santa Fe,2028,3695020,1810798,1884222
Santa Fe,2029,3697955,1812952,1885003
Santa Fe,2030,3700705,1815015,1885690
Santiago del Estero,2022,1045276,524534,520742
Santiago del Estero,2023,1049610,526571,523039
Santiago del Estero,2024,1053409,528224,525185
Santiago del Estero,2025,1056774,529583,527191
Santiago del Estero,2026,1059927,530872,529055
Santiago del Estero,2027,1062900,532092,530808
Santiago del Estero,2028,1065723,533263,532460
Santiago del Estero,2029,1068512,534435,534077
Santiago del Estero,2030,1071328,535633,535695
Tucumán,2022,1758288,867796,890492
Tucumán,2023,1763239,870218,893021
Tucumán,2024,1768368,872698,895670
Tucumán,2025,1773567,875166,898401
Tucumán,2026,1778484,877515,900969
Tucumán,2027,1783139,879748,903391
Tucumán,2028,1787513,881848,905665
Tucumán,2029,1791730,883874,907856
Tucumán,2030,1795918,885895,910023
Tierra del Fuego,2022,179645,90625,89020
Tierra del Fuego,2023,180555,90987,89568
Tierra del Fuego,2024,181263,91215,90048
Tierra del Fuego,2025,182003,91451,90552
Tierra del Fuego,2026,182744,91697,91047
Tierra del Fuego,2027,183488,91947,91541
Tierra del Fuego,2028,184236,92198,92038
Tierra del Fuego,2029,184986,92456,92530
Tierra del Fuego,2030,185746,92713,93033
