Categoria,Cantidad
Igualdad salarial,12
Igualdad en el acceso de puestos jerárquicos,11
"Erradicación de prácticas de discriminación en relación al género, de acoso sexual e intimidación",10
Prohibición de despidos o obstaculización de la carrera por embarazo o estado civil,8
Acceso a actividades laborales no tradicionales,4
"Packaging, marketing y publicidad empresariales que no reproduzcan estereotipos de género",3
Difusión y campañas de promoción en la comunidad sobre temáticas de igualdad de género,3
Apoyo y articulación de proyectos comunitarios que tienen por objetivo la valoración de las mujeres y personas LGBT+,3
Difusión de Código de Conducta y Acoso Sexual,1
Priorización en la contratación de terceros de emprendimientos dirigidos por mujeres y personas LGBT+,1
